fork_id,fork_name,fork_full_name,fork_owner,fork_url,fork_created_at,fork_updated_at
R_kgDOHHhiug,variant-calling-pipeline-gatk4,rwarrencodes/variant-calling-pipeline-gatk4,rwarrencodes,https://github.com/rwarrencodes/variant-calling-pipeline-gatk4,2022-04-04T10:28:23Z,2022-03-31T07:15:07Z
R_kgDOHLH6WA,variant-calling-pipeline-gatk4,sophia0509/variant-calling-pipeline-gatk4,sophia0509,https://github.com/sophia0509/variant-calling-pipeline-gatk4,2022-04-14T01:24:10Z,2022-04-29T06:48:00Z
R_kgDOHSe8vA,variant-calling-pipeline-gatk4,devalles/variant-calling-pipeline-gatk4,devalles,https://github.com/devalles/variant-calling-pipeline-gatk4,2022-05-05T22:29:23Z,2022-03-31T07:15:07Z
R_kgDOHrBlPw,variant-calling-pipeline-gatk4,wan230114/variant-calling-pipeline-gatk4,wan230114,https://github.com/wan230114/variant-calling-pipeline-gatk4,2022-07-17T15:09:13Z,2022-07-24T17:10:46Z
R_kgDOH0gtlA,nextflow_pipline_VC,A-nnonymous/nextflow_pipline_VC,A-nnonymous,https://github.com/A-nnonymous/nextflow_pipline_VC,2022-08-15T01:45:12Z,2022-08-01T02:00:40Z
R_kgDOH3n36w,variant-calling-pipeline-gatk4,UpalabdhaD/variant-calling-pipeline-gatk4,UpalabdhaD,https://github.com/UpalabdhaD/variant-calling-pipeline-gatk4,2022-08-23T17:02:40Z,2022-08-01T02:00:40Z
R_kgDOH6bpcQ,variant-calling-pipeline-gatk4,TgLezana/variant-calling-pipeline-gatk4,TgLezana,https://github.com/TgLezana/variant-calling-pipeline-gatk4,2022-08-31T10:21:05Z,2022-08-01T02:00:40Z
R_kgDOIhN8-w,variant-calling-pipeline-gatk4,HasiHays/variant-calling-pipeline-gatk4,HasiHays,https://github.com/HasiHays/variant-calling-pipeline-gatk4,2022-11-28T17:50:02Z,2022-11-23T01:38:03Z
R_kgDOIzrYjg,variant-calling-pipeline-gatk4,Dataxplora/variant-calling-pipeline-gatk4,Dataxplora,https://github.com/Dataxplora/variant-calling-pipeline-gatk4,2023-01-19T20:43:01Z,2023-01-18T22:49:00Z
R_kgDOI16Bvw,variant-calling-pipeline-gatk4,zappuf/variant-calling-pipeline-gatk4,zappuf,https://github.com/zappuf/variant-calling-pipeline-gatk4,2023-01-25T22:28:05Z,2023-01-24T10:45:11Z
R_kgDOI7x31w,variant-calling-pipeline-gatk4,boxizhang/variant-calling-pipeline-gatk4,boxizhang,https://github.com/boxizhang/variant-calling-pipeline-gatk4,2023-02-09T11:41:35Z,2023-01-24T10:45:11Z
R_kgDOI-fEgA,variant-calling-pipeline-gatk4,ambuvjyn/variant-calling-pipeline-gatk4,ambuvjyn,https://github.com/ambuvjyn/variant-calling-pipeline-gatk4,2023-02-16T05:24:04Z,2023-02-16T05:40:51Z
R_kgDOI_EODQ,variant-calling-pipeline-gatk4,kevin-wamae/variant-calling-pipeline-gatk4,kevin-wamae,https://github.com/kevin-wamae/variant-calling-pipeline-gatk4,2023-02-17T12:04:02Z,2023-02-17T12:03:52Z
R_kgDOJIFzUQ,variant-calling-pipeline-gatk4,DenverN3/variant-calling-pipeline-gatk4,DenverN3,https://github.com/DenverN3/variant-calling-pipeline-gatk4,2023-03-11T02:42:01Z,2023-03-14T18:40:17Z
R_kgDOJX0lFw,variant-calling-pipeline-gatk4,airbj31/variant-calling-pipeline-gatk4,airbj31,https://github.com/airbj31/variant-calling-pipeline-gatk4,2023-04-17T10:31:49Z,2023-02-17T12:03:52Z
R_kgDOJg7qVg,variant-calling-pipeline-gatk4,dangdu259e/variant-calling-pipeline-gatk4,dangdu259e,https://github.com/dangdu259e/variant-calling-pipeline-gatk4,2023-05-09T14:08:11Z,2023-05-09T14:08:11Z
R_kgDOJy8eHA,variant-calling-pipeline-gatk4,yongjiam/variant-calling-pipeline-gatk4,yongjiam,https://github.com/yongjiam/variant-calling-pipeline-gatk4,2023-06-23T01:30:49Z,2023-06-23T01:30:49Z
R_kgDOJ3AY8g,variant-calling-pipeline-gatk4,yangchuhua/variant-calling-pipeline-gatk4,yangchuhua,https://github.com/yangchuhua/variant-calling-pipeline-gatk4,2023-07-03T11:06:27Z,2023-07-03T11:06:27Z
R_kgDOKV4jJg,variant-calling-pipeline-gatk4,HNUmcc/variant-calling-pipeline-gatk4,HNUmcc,https://github.com/HNUmcc/variant-calling-pipeline-gatk4,2023-09-20T07:48:46Z,2023-09-20T07:48:46Z
R_kgDOLPJsLw,variant-calling-pipeline-gatk4,SaifulQuamarKhan/variant-calling-pipeline-gatk4,SaifulQuamarKhan,https://github.com/SaifulQuamarKhan/variant-calling-pipeline-gatk4,2024-02-07T11:21:37Z,2024-02-07T11:21:37Z
R_kgDOMtKMzg,variant-calling-pipeline-gatk4,Venkatesh-99/variant-calling-pipeline-gatk4,Venkatesh-99,https://github.com/Venkatesh-99/variant-calling-pipeline-gatk4,2024-09-05T07:37:15Z,2024-09-05T07:37:15Z
