id,title,state,created_at,updated_at,closed_at,body,user,url
I_kwDOHAd7ks5F6LPp,Curious about X,CLOSED,2022-03-17T20:27:11Z,2022-03-17T21:01:13Z,2022-03-17T21:01:13Z,XYZ here are my thoughts,DaSLZapier,https://github.com/jhudsl/GDSCN_Book_Statistics_for_Genomics_RNA-seq/issues/3
I_kwDOHAd7ks5F6YBe,Add edit pencil button,CLOSED,2022-03-17T21:19:51Z,2022-03-17T21:20:12Z,2022-03-17T21:20:12Z,https://github.com/jhudsl/AnVIL_Book_Getting_Started/pull/109,avahoffman,https://github.com/jhudsl/GDSCN_Book_Statistics_for_Genomics_RNA-seq/issues/4
