login,avatarUrl,url,starredAt
ggonnella,https://avatars.githubusercontent.com/u/21620?u=0c6ecc43ee0e4c7521759d29d4ffd1e6a28fac05&v=4,https://github.com/ggonnella,2008-10-13T19:12:19Z
silverkey,https://avatars.githubusercontent.com/u/71689?v=4,https://github.com/silverkey,2009-04-08T07:57:09Z
gawbul,https://avatars.githubusercontent.com/u/321291?u=c716d6b135409b2a096435129453863e5c550baf&v=4,https://github.com/gawbul,2010-07-02T16:34:01Z
angusshire,https://avatars.githubusercontent.com/u/5877145?u=f3c028c0f1b72ace372a8e481a7c2d1ea8aba7ec&v=4,https://github.com/angusshire,2016-05-08T14:49:33Z
