|                            Search Query                             |                                       Repository Name                                       |                                              full_name                                               |                                                           URL                                                           |                                                                                                                                                                                                                                                                                                                                                                    Description                                                                                                                                                                                                                                                                                                                                                                     |   Stars |   Forks |     Language     |   Issues |      Created At      |      Updated At      |  Default Branch  |                                                                                          License                                                                                          |                                                                                                                                              Topics                                                                                                                                               |  Private  |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                      genomics.USC.HPC                                       |                                   Mangul-Lab-USC/genomics.USC.HPC                                    |                                   https://github.com/Mangul-Lab-USC/genomics.USC.HPC                                    |                                                                                                                                                                                                                                                                                                                                                            rna.seq.pipeline for USC HPC                                                                                                                                                                                                                                                                                                                                                            |       3 |       0 |      Shell       |        0 | 2019-10-28T02:25:45Z | 2021-07-20T08:04:01Z |      master      |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                 genome_annotation_workflow                                  |                                   sdind/genome_annotation_workflow                                   |                                   https://github.com/sdind/genome_annotation_workflow                                   |                                                                                                                                                                                                                                                                                                                                      This workflow performs genome annotation using RNA-seq and protein data                                                                                                                                                                                                                                                                                                                                       |       2 |       1 |      Python      |        0 | 2023-06-29T13:31:34Z | 2024-02-18T06:30:56Z |       main       |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                    genomic-data-analysis                                    |                                  shanecrinion/genomic-data-analysis                                  |                                  https://github.com/shanecrinion/genomic-data-analysis                                  |                                                                                                                                                                                                                                                                                                                                                           RNA-seq, ChIP-seq, GWAS, etc.                                                                                                                                                                                                                                                                                                                                                            |       1 |       0 |                  |        0 | 2020-04-01T15:02:15Z | 2024-04-07T13:10:30Z |      master      |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                       Genomics_Basics                                       |                                      HJF-ACESO/Genomics_Basics                                       |                                      https://github.com/HJF-ACESO/Genomics_Basics                                       |                                                                                                                                                                                                                                                                                                                                                 Description of basic workflow for RNA-Seq analysis                                                                                                                                                                                                                                                                                                                                                 |       1 |       0 |                  |        0 | 2023-11-09T22:23:55Z | 2024-07-17T21:24:04Z |       main       |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                              Rna_seq_anlysis_bactertial_genome                              |                           Naoueldjouher/Rna_seq_anlysis_bactertial_genome                            |                           https://github.com/Naoueldjouher/Rna_seq_anlysis_bactertial_genome                            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |       1 |       0 |        R         |        0 | 2023-10-28T11:36:06Z | 2023-10-28T23:16:55Z |       main       |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                         GDSCN_Book_Statistics_for_Genomics_RNA-seq                          |                          jhudsl/GDSCN_Book_Statistics_for_Genomics_RNA-seq                           |                          https://github.com/jhudsl/GDSCN_Book_Statistics_for_Genomics_RNA-seq                           |                                                                                                                                                                                                                                                                                                                                            [WORK IN PROGRESS] A set of lab modules for RNA-seq analysis                                                                                                                                                                                                                                                                                                                                            |       1 |       0 |       CSS        |        1 | 2022-03-15T16:53:31Z | 2023-02-28T19:16:23Z |       main       | {'key': 'cc-by-4.0', 'name': 'Creative Commons Attribution 4.0 International', 'spdx_id': 'CC-BY-4.0', 'url': 'https://api.github.com/licenses/cc-by-4.0', 'node_id': 'MDc6TGljZW5zZTI1'} |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                        stat_genomics                                        |                                        xueyuanj/stat_genomics                                        |                                        https://github.com/xueyuanj/stat_genomics                                        |                                                                                                                                                                                                                                                                                                                    STAT 555. Analysis of the differential gene expression in blood cells using RNA-seq data and ATAC-seq data.                                                                                                                                                                                                                                                                                                                     |       1 |       0 |        R         |        0 | 2018-11-28T02:46:31Z | 2023-04-26T00:22:53Z |      master      |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                   Neuro-Genomics-Explorer                                   |                                   jerin-mx/Neuro-Genomics-Explorer                                   |                                   https://github.com/jerin-mx/Neuro-Genomics-Explorer                                   |                                                                                                                                                                                                                                                                                This project focuses on analyzing a single-cell RNA sequencing (RNA-seq) dataset from the mouse neocortex, aiming to unveil hierarchical structures and identify significant genes.                                                                                                                                                                                                                                                                                 |       1 |       0 | Jupyter Notebook |        0 | 2024-02-20T19:59:21Z | 2024-06-03T00:05:41Z |       main       |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                        GenomeScratch                                        |                                     saifeldeen-bio/GenomeScratch                                     |                                     https://github.com/saifeldeen-bio/GenomeScratch                                     |                                                                                                                                                                                                                             GenomeScratch is a user-friendly tool designed for generating virtual reference genomes, accompanied by GFF and GTF files. Tailored for testing workflows, it enables users to simulate genomic scenarios and optimize bioinformatics processes in a controlled, lightweight environment.                                                                                                                                                                                                                              |       1 |       0 |      Python      |        0 | 2023-12-02T10:26:48Z | 2024-11-23T09:53:53Z |       main       |                           {'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}                            |                                                                                                                 ['bioinformatics', 'bioinformatics-tool', 'genomics', 'rna-seq']                                                                                                                  |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                               Bioconductor-GenomicDataCommons                               |                               RRafiee/Bioconductor-GenomicDataCommons                                |                               https://github.com/RRafiee/Bioconductor-GenomicDataCommons                                |                                                                                                                                                                                                                                                                                                                                                             Genomic Data Commons Query                                                                                                                                                                                                                                                                                                                                                             |       1 |       1 |        R         |        0 | 2017-06-21T09:23:01Z | 2018-11-01T07:54:18Z |      master      |                                                                                                                                                                                           |                                                                              ['adenoarcinoma', 'bioconductor', 'gdc', 'gene', 'lung', 'lung-cancer', 'methylation', 'rna-seq', 'tcga', 'tcga-data', 'tcgabiolinks']                                                                               |   False   |
