|                            Search Query                             |                                       Repository Name                                       |                                              full_name                                               |                                                           URL                                                           |                                                                                                                                                                                                                                                                                                                                                                    Description                                                                                                                                                                                                                                                                                                                                                                     |   Stars |   Forks |     Language     |   Issues |      Created At      |      Updated At      |  Default Branch  |                                                                                          License                                                                                          |                                                                                                                                              Topics                                                                                                                                               |  Private  |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                                    genome_center_na_seq                                     |                                     malloc3/genome_center_na_seq                                     |                                     https://github.com/malloc3/genome_center_na_seq                                     |                                                                                                                                                                                                                                                                                                                                                    Genome_Center_Rna_Seq: An Aquarium Workflow                                                                                                                                                                                                                                                                                                                                                     |       0 |       0 |       HTML       |        0 | 2020-03-17T15:09:10Z | 2020-04-03T17:00:46Z |      master      |                                          {'key': 'other', 'name': 'Other', 'spdx_id': 'NOASSERTION', 'url': None, 'node_id': 'MDc6TGljZW5zZTA='}                                          |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                                   MSc2_sequence-a-genome                                    |                                   aechchiki/MSc2_sequence-a-genome                                   |                                   https://github.com/aechchiki/MSc2_sequence-a-genome                                   |                                                                                                                                                                                                                                                                                                                                                     Sequence a Genome - RNA-seq data analysis                                                                                                                                                                                                                                                                                                                                                      |       0 |       0 |        R         |        0 | 2016-04-12T06:29:56Z | 2019-07-11T07:38:07Z |      master      |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                                      Applied-Genomics                                       |                                     marioranval/Applied-Genomics                                     |                                     https://github.com/marioranval/Applied-Genomics                                     |                                                                                                                                                                                                                                                                                     Explore Applied Genomics: Next-gen sequencing, sequence alignment, variant calling, RNA-seq, ChIP-seq, single-cell RNA-seq, and systems biology projects from Spring 2021.                                                                                                                                                                                                                                                                                     |       0 |       0 |      Shell       |        0 | 2023-07-28T20:33:49Z | 2023-07-28T20:55:14Z |       main       |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                                   genomic-rnaseq-pipeline                                   |                                 BSGenomique/genomic-rnaseq-pipeline                                  |                                 https://github.com/BSGenomique/genomic-rnaseq-pipeline                                  |                                                                                                                                                                                                                                                                                                                                           Pipeline used for RNA-Seq experiment on the GenomIC Plateform                                                                                                                                                                                                                                                                                                                                            |       0 |       0 |        R         |        0 | 2020-04-28T12:35:18Z | 2022-11-03T09:39:41Z |      master      |           {'key': 'gpl-3.0', 'name': 'GNU General Public License v3.0', 'spdx_id': 'GPL-3.0', 'url': 'https://api.github.com/licenses/gpl-3.0', 'node_id': 'MDc6TGljZW5zZTk='}            |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                                   Genomic_DNA_in_RNA_seq                                    |                                 HaiGenBuShang/Genomic_DNA_in_RNA_seq                                 |                                 https://github.com/HaiGenBuShang/Genomic_DNA_in_RNA_seq                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |       0 |       0 |        R         |        0 | 2022-02-25T01:27:54Z | 2022-02-25T01:36:59Z |       main       |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                              RNA-seq-with-the-reference-genome                              |                              ketki16j/RNA-seq-with-the-reference-genome                              |                              https://github.com/ketki16j/RNA-seq-with-the-reference-genome                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |       0 |       0 |        R         |        0 | 2024-11-09T01:04:28Z | 2024-11-11T03:09:27Z |       main       |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                                   DM-tRNA-seq-ref-genomes                                   |                                 Jessica-Pan/DM-tRNA-seq-ref-genomes                                  |                                 https://github.com/Jessica-Pan/DM-tRNA-seq-ref-genomes                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |       0 |       1 |      Python      |        0 | 2019-08-08T19:23:46Z | 2019-10-29T14:32:58Z |      master      |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                                   PersonalGenomePipeline                                    |                                 GlastonburyC/PersonalGenomePipeline                                  |                                 https://github.com/GlastonburyC/PersonalGenomePipeline                                  |                                                                                                                                                                                                                                                                                                                                       Map all RNA-seq samples to reference and personal genomes using UK10K                                                                                                                                                                                                                                                                                                                                        |       0 |       0 |      Python      |        0 | 2016-03-14T02:45:04Z | 2018-07-24T15:19:15Z |      master      |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                                     Genomic-Clustering                                      |                                 KrithikaRamasamy/Genomic-Clustering                                  |                                 https://github.com/KrithikaRamasamy/Genomic-Clustering                                  |                                                                                                                                                                                                                                                                                                                                 Clustering of publically available RNA seq and microarray data using 1D jury score                                                                                                                                                                                                                                                                                                                                 |       0 |       0 |                  |        0 | 2015-06-28T21:16:16Z | 2015-06-28T21:16:16Z |      master      |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                                       GenomeAnalysis                                        |                                       bonitavw/GenomeAnalysis                                        |                                       https://github.com/bonitavw/GenomeAnalysis                                        |                                                                                                                                                                                                                                                                                                              RNA-seq and Tn-seq reveal fitness determinants of vancomycin-resistant Enterococcus faecium during growth in human serum                                                                                                                                                                                                                                                                                                              |       0 |       0 |       HTML       |        0 | 2023-03-25T11:43:56Z | 2024-10-18T08:30:07Z |       main       |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                                     express-full-genome                                     |                                     ivangrub/express-full-genome                                     |                                     https://github.com/ivangrub/express-full-genome                                     |                                                                                                                                                                                                                                                                                                                                  Expand eXpress from RNA-seq to any genome wide high throughput sequencing assay                                                                                                                                                                                                                                                                                                                                   |       0 |       0 |      Python      |        0 | 2014-02-11T20:44:01Z | 2014-02-25T23:01:22Z |      master      |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                          MAST30033_Statistical_Genomics_scRNA-seq                           |                          jiadongm/MAST30033_Statistical_Genomics_scRNA-seq                           |                          https://github.com/jiadongm/MAST30033_Statistical_Genomics_scRNA-seq                           |                                                                                                                                                                                                                                                                                                            Materials for the practical session on scRNA-seq analysis for MAST30033_Statistical_Genomics at the University of Melbourne                                                                                                                                                                                                                                                                                                             |       0 |       0 |       HTML       |        0 | 2023-10-06T06:22:12Z | 2023-10-06T06:27:21Z |       main       |                           {'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}                            |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                                       GenomeAnalysis                                        |                                    yaseminutkueri/GenomeAnalysis                                     |                                    https://github.com/yaseminutkueri/GenomeAnalysis                                     |                                                                                                                                                                                                                                                                                                         Paper1 - RNA-seq and Tn-seq reveal fitness determinants of vancomycin-resistant Enterococcus faecium during growth in human serum                                                                                                                                                                                                                                                                                                          |       0 |       0 |       HTML       |        0 | 2023-03-23T13:05:54Z | 2023-03-29T11:42:20Z |       main       |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                                    GenomeAnalysis_Paper1                                    |                                    xandri99/GenomeAnalysis_Paper1                                    |                                    https://github.com/xandri99/GenomeAnalysis_Paper1                                    |                                                                                                                                                                                                                                                                                                             RNA-seq and Tn-seq reveal fitness determinants of vancomycin-resistant Enterococcus faecium during growth in human serum.                                                                                                                                                                                                                                                                                                              |       0 |       0 |       HTML       |        0 | 2023-03-25T12:28:39Z | 2023-04-08T10:41:23Z |       main       |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                        GDSCN_Book_Statistics_for_Genomics_scRNA-seq                         |                         jhudsl/GDSCN_Book_Statistics_for_Genomics_scRNA-seq                          |                         https://github.com/jhudsl/GDSCN_Book_Statistics_for_Genomics_scRNA-seq                          |                                                                                                                                                                                                                                                                                                                                               A set of lab modules for single cell RNA-seq analysis                                                                                                                                                                                                                                                                                                                                                |       0 |       0 |       CSS        |        1 | 2022-03-24T14:49:57Z | 2024-06-03T15:39:02Z |       main       | {'key': 'cc-by-4.0', 'name': 'Creative Commons Attribution 4.0 International', 'spdx_id': 'CC-BY-4.0', 'url': 'https://api.github.com/licenses/cc-by-4.0', 'node_id': 'MDc6TGljZW5zZTI1'} |                                                                                                                  ['anvil', 'course', 'gdscn', 'module', 'rna-seq', 'scrna-seq']                                                                                                                   |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                                    ComputationalGenomics                                    |                                  aobermayer4/ComputationalGenomics                                   |                                  https://github.com/aobermayer4/ComputationalGenomics                                   |                                                                                                                                                                                                                                                                                                                           Repository containing various RNA-seq, ChIP-seq, and 16S-seq analysis pipelines run through R                                                                                                                                                                                                                                                                                                                            |       0 |       0 |        R         |        0 | 2020-08-26T22:30:04Z | 2021-07-08T03:59:07Z |      master      |                                                                                                                                                                                           |                                                                                                    ['16s-seq', 'bioconductor', 'chip-seq', 'deseq', 'ggplot2', 'ngs-analysis', 'r', 'rna-seq']                                                                                                    |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                      scRNA-seq-analysis-using-custom-genome-reference                       |                    Pooran-Dewari/scRNA-seq-analysis-using-custom-genome-reference                    |                    https://github.com/Pooran-Dewari/scRNA-seq-analysis-using-custom-genome-reference                    |                                                                                                                                                                                                                                                                                                                                                  scRNA-seq analysis using custom genome reference                                                                                                                                                                                                                                                                                                                                                  |       0 |       0 |                  |        0 | 2023-06-27T08:30:30Z | 2023-06-27T08:31:28Z |       main       |                           {'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}                            |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                   Genomic-Data-Science-Project-Brain-Development-RNA-seq                    |                 FawziYassine/Genomic-Data-Science-Project-Brain-Development-RNA-seq                  |                 https://github.com/FawziYassine/Genomic-Data-Science-Project-Brain-Development-RNA-seq                  |                                                                                                                                                                                                                                                                            Bioinformatic analysis of RNA-seq data to find Differentially Expressed Genes (DEGs) between ffetal (<0 years) and adult (20-50 years) age groups in order to study human brain. development                                                                                                                                                                                                                                                                            |       0 |       0 |        R         |        0 | 2019-11-30T12:43:45Z | 2021-11-13T11:55:06Z |      master      |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                        Genomics-Analyzing-TCGA-LGG-GBM-Data-RNA-Seq                         |                       talhasagdan/Genomics-Analyzing-TCGA-LGG-GBM-Data-RNA-Seq                       |                       https://github.com/talhasagdan/Genomics-Analyzing-TCGA-LGG-GBM-Data-RNA-Seq                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |       0 |       0 | Jupyter Notebook |        0 | 2020-04-14T12:33:02Z | 2023-10-10T07:39:19Z |      master      |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                                     Genome_project_6010                                     |                                  imhuangshihui/Genome_project_6010                                   |                                  https://github.com/imhuangshihui/Genome_project_6010                                   |                                                                                                                                                                                                                                                                                                                     Identification of long intergenic non-coding RNA involved in osteogenic differenciation using RNA-seq data                                                                                                                                                                                                                                                                                                                     |       0 |       0 |      Python      |        0 | 2021-10-07T07:03:46Z | 2023-08-17T05:00:42Z |       main       |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                                   GenomicsUA_2023_rnaseq                                    |                                    kornkv/GenomicsUA_2023_rnaseq                                     |                                    https://github.com/kornkv/GenomicsUA_2023_rnaseq                                     |                                                                                                                                                                                                                                                                                                        My work on course "Analysis of RNA-seq data: from transcripts to biological interpretations" - a practical course from Genomics UA .                                                                                                                                                                                                                                                                                                        |       0 |       0 |                  |        0 | 2023-10-19T09:23:11Z | 2023-10-19T09:23:12Z |       main       |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                                       Genomeanalysis                                        |                                        Petbys/Genomeanalysis                                         |                                        https://github.com/Petbys/Genomeanalysis                                         |                                                                                                                                                                                                                                                                                                              RNA-seq and Tn-seq reveal fitness determinants of vancomycin-resistant Enterococcus faecium during growth in human serum                                                                                                                                                                                                                                                                                                              |       0 |       0 |      Shell       |        0 | 2023-03-20T16:02:04Z | 2023-05-17T12:46:56Z |       main       |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                                      Genomics-Project                                       |                                   saipavan10-git/Genomics-Project                                    |                                   https://github.com/saipavan10-git/Genomics-Project                                    |                                                                                                                                                                                                                                                                                                                  A machine learning based application built to classify RNA Seq Data to identify five different types of cancers.                                                                                                                                                                                                                                                                                                                  |       0 |       0 | Jupyter Notebook |        0 | 2022-01-21T19:09:14Z | 2022-04-11T21:29:16Z |       main       |                           {'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}                            |                                                                                                                                 ['genomics', 'machine-learning']                                                                                                                                  |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                                      patient-genomics                                       |                                      antallya/patient-genomics                                       |                                      https://github.com/antallya/patient-genomics                                       |                                                                                                                                                                                                                                                                                                                Analysis of a single-cell RNA-seq dataset, with the goal of highlighting gene abnormalities causing invasive cancer.                                                                                                                                                                                                                                                                                                                |       0 |       0 |        R         |        0 | 2024-07-12T12:12:51Z | 2024-08-22T19:15:00Z |       main       |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |              Visualize-and-annotate-genome-coverage-with-ggplot2-RNA-seq-data-              |         Aria-Dolatabadian/Visualize-and-annotate-genome-coverage-with-ggplot2-RNA-seq-data-          |         https://github.com/Aria-Dolatabadian/Visualize-and-annotate-genome-coverage-with-ggplot2-RNA-seq-data-          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |       0 |       0 |        R         |        0 | 2023-04-03T03:18:40Z | 2023-04-03T03:20:02Z |       main       |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                                   Genome-Analysis-Project                                   |                               elvirazetterberg/Genome-Analysis-Project                               |                               https://github.com/elvirazetterberg/Genome-Analysis-Project                               |                                                                                                                                                                                                                                                                                           Recreating the results from the paper RNA-seq and Tn-seq Reveal Fitness Determinants of Vancomycin-resistant Enterococcus faecium During Growth in Human Serum                                                                                                                                                                                                                                                                                           |       0 |       0 |       HTML       |        0 | 2023-03-23T13:07:44Z | 2023-04-14T13:24:11Z |       main       |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                                       GenomeAnalysis                                        |                                       VenWernz/GenomeAnalysis                                        |                                       https://github.com/VenWernz/GenomeAnalysis                                        |                                                                                                                                                                                                                                                     This is my repository for the coruse Genome Analysis on Uppsala university VT2022. I'm doing paper number 1 - "RNA-seq and Tn-seq reveal fitness determinants of vancomycin-resistant Enterococcus faecium during growth in human serum".                                                                                                                                                                                                                                                      |       0 |       0 |      Shell       |        0 | 2022-03-21T09:36:02Z | 2022-03-30T14:56:21Z |       main       |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                                    genome-analysis-tools                                    |                                   KojiMasuda/genome-analysis-tools                                   |                                   https://github.com/KojiMasuda/genome-analysis-tools                                   |                                                                                                                                                                                                                                                                                        These tools are created for analyzing the peaks or read distributions (bedgraph, wiggle format) derived from next-generation sequencing such as ChIP-seq or RNA-seq.                                                                                                                                                                                                                                                                                        |       0 |       0 |        C         |        0 | 2015-09-30T00:28:18Z | 2016-08-17T11:15:33Z |      master      |                           {'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}                            |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                                    BreastCancer_Genomics                                    |                                  alexaburchak/BreastCancer_Genomics                                  |                                  https://github.com/alexaburchak/BreastCancer_Genomics                                  |                                                                                                                                                                                                                                                                               Analysis of RNA-Seq data for approximately 3500 breast tumors from the SCAN-B project to investigate differential splicing patterns between molecular subtypes and clinical phenotypes                                                                                                                                                                                                                                                                               |       0 |       0 |        R         |        0 | 2024-04-24T09:12:53Z | 2024-05-28T13:32:19Z |       main       |                                                                                                                                                                                           |                                                                                                                     ['alternative-splicing', 'breast-cancer-classification']                                                                                                                      |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 3} |                             Genomics-and-High-Dimensional-Data                              |                            helensamara/Genomics-and-High-Dimensional-Data                            |                            https://github.com/helensamara/Genomics-and-High-Dimensional-Data                            |                                                                                                                                                                                                    In this project, we will analyze a single-cell RNA-seq dataset, with the goal of unveiling hierarchical structure and discovering important genes. The datasets provided are all different subsets of a larger single-cell RNA-seq dataset, compiled by the Allen Institute. This data contains cells from the mouse neocortex. (from MITx)                                                                                                                                                                                                     |       0 |       0 |                  |        0 | 2024-06-18T12:26:06Z | 2024-06-18T12:26:06Z |       main       |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 3} |                                   KCNH6GenomicsFigures.jl                                   |                                  owensnick/KCNH6GenomicsFigures.jl                                   |                                  https://github.com/owensnick/KCNH6GenomicsFigures.jl                                   |                                                                                                                                                                                                                                                                                                 Data analysis and figures of RNA-seq time series over development of depolarisation of Xenopus embryos. https://doi.org/10.1038/s41467-022-34363-w                                                                                                                                                                                                                                                                                                 |       0 |       0 | Jupyter Notebook |       25 | 2022-06-22T16:30:33Z | 2022-11-09T20:05:26Z |      master      |                           {'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}                            |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 3} |                                 ebola-genomics-research-ngs                                 |                                tatkeller/ebola-genomics-research-ngs                                 |                                https://github.com/tatkeller/ebola-genomics-research-ngs                                 |                                                                                                                                                                                                                                                            Determining a genetic difference between survivors and victims of Ebola virus disease from RNA-seq data -- genomics project (RNA alignment: STAR , feature counting, QC reporting, Differential expression analysis: DESeq2)                                                                                                                                                                                                                                                            |       0 |       0 |        R         |        0 | 2020-03-14T21:48:11Z | 2020-08-17T17:57:05Z |      master      |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 3} |             Genomic-characterization-of-head-and-neck-squamous-cell-carcinomas-             |            Carol-P18/Genomic-characterization-of-head-and-neck-squamous-cell-carcinomas-             |            https://github.com/Carol-P18/Genomic-characterization-of-head-and-neck-squamous-cell-carcinomas-             |                                                                                                                                                                                                                                                                                              Analysis of the TCGA Head and Neck Squamous Carcinoma (HNSC) dataset of RNA-seq expression profiles partially described in Lawrence et al., Nature 2015                                                                                                                                                                                                                                                                                               |       0 |       0 |       HTML       |        0 | 2022-01-11T00:31:41Z | 2022-01-11T01:14:42Z |       main       |                           {'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}                            |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 3} | Whole-Genome-Bioinformatic-Analysis-of-Skin-from-Three-Immunologically-Diverse-Mouse-Models | bissessk/Whole-Genome-Bioinformatic-Analysis-of-Skin-from-Three-Immunologically-Diverse-Mouse-Models | https://github.com/bissessk/Whole-Genome-Bioinformatic-Analysis-of-Skin-from-Three-Immunologically-Diverse-Mouse-Models |                                                                                                                                                                                                                                                         Performed a differential gene expression analysis with RNA-seq on three immunologically diverse mouse models. Differentially expressed genes were identified and a GO term enrichment analysis was done to determine their roles.                                                                                                                                                                                                                                                          |       0 |       0 |                  |        0 | 2020-06-05T02:46:56Z | 2020-08-28T04:43:37Z |      master      |                                                                                                                                                                                           |                          ['bioinformatics', 'bioinformatics-analysis', 'bioinformatics-pipeline', 'biostatistics', 'differential-gene-expression', 'geoquery', 'machine-learning', 'r', 'rna-seq', 'rna-seq-analysis', 'rna-seq-pipeline', 'rstudio', 'transcriptomics']                          |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 3} |                                      Genomic_projects                                       |                                       Moha-cm/Genomic_projects                                       |                                       https://github.com/Moha-cm/Genomic_projects                                       |                                                                                                                                                                                                                                                                                                                                              Data science project work with genomics/biological data                                                                                                                                                                                                                                                                                                                                               |       0 |       0 |       HTML       |        0 | 2023-12-14T18:19:16Z | 2024-01-07T15:29:53Z |       main       |                                                                                                                                                                                           |                                                                                                 ['data-cleaning', 'data-science', 'gene-expression', 'genomics', 'notebook', 'pyhton', 'rna-seq']                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 3} |                                  recurrence-pred-genomics                                   |                                  ttsudipto/recurrence-pred-genomics                                  |                                  https://github.com/ttsudipto/recurrence-pred-genomics                                  |                                                                                                                                                                                                                                                                                                                                         ML-based prediction of NSCLC recurrence with gene expression data                                                                                                                                                                                                                                                                                                                                          |       0 |       0 |      Python      |        0 | 2022-08-26T06:08:47Z | 2024-07-23T12:53:42Z |       main       |           {'key': 'gpl-3.0', 'name': 'GNU General Public License v3.0', 'spdx_id': 'GPL-3.0', 'url': 'https://api.github.com/licenses/gpl-3.0', 'node_id': 'MDc6TGljZW5zZTk='}            |                    ['boruta', 'gene-expression', 'imbalanced-learn', 'machine-learning', 'mcfs', 'multilayer-perceptron', 'non-small-cell-lung-cancer', 'python', 'r', 'random-forest', 'recurrence-prediction', 'rna-seq', 'scikit-learn', 'smote', 'support-vector-machine']                    |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 3} |                          Teaching-Assistant-Computational-Genomics                          |                    YogiOnBioinformatics/Teaching-Assistant-Computational-Genomics                    |                    https://github.com/YogiOnBioinformatics/Teaching-Assistant-Computational-Genomics                    |                                                                                                                                                                                                                                                              Workshops, Course Schedule and Teaching Assistant Review from my time as a chosen Undergraduate Teaching Assistant for the University of Pittsburgh course, BIOSC1540 - Computational Genomics taught by Dr. Miler Lee.                                                                                                                                                                                                                                                               |       0 |       1 |      Shell       |        0 | 2019-03-16T19:48:10Z | 2019-03-18T20:53:07Z |      master      |                                                                                                                                                                                           | ['bash', 'bioinformatics', 'chip-seq', 'computational-biology', 'computational-genomics', 'deeptools', 'differential-gene-expression', 'genome-alignment', 'genome-annotation', 'genome-browser', 'motif-finding', 'r', 'rna-seq', 'teaching-assistant', 'transcriptomics', 'university', 'unix'] |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 3} |                              Genomic-and-High-Dimensional-Data                              |                              asalimw/Genomic-and-High-Dimensional-Data                               |                              https://github.com/asalimw/Genomic-and-High-Dimensional-Data                               | Visualization and Clustering tools In this analysis we will analyze a single-cell RNA-seq dataset compiled by the Allen Institute. The data set contains cells from a mouse neocortex (region in the brain which governs perception and cognition).  Each row corresponds to a cell. Each column corresponds to the normalized transcript compatibility count (TCC). We might think of entry i, j as the level of expression of gene j in cell i.  The data consists of a counts matrix in file Y and X , along with ground truth labels . The ground truth labels are not necessary for this part, but you may use them to verify that your results are sensible.  Goal: Unveil hierarchical structure of the genes and discover important genes. |       0 |       0 | Jupyter Notebook |        0 | 2021-10-30T10:58:24Z | 2021-10-30T10:58:49Z |       main       |                           {'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}                            |                                                                                                                                                []                                                                                                                                                 |   False   |
