Organization,Repository,Is_Fork,Parent_Repo,Parent_Archived,Stars,Forks,Forks_History,Open_Issues,Closed_Issues,Avg_Response_Time (sec),Has_README,Has_Wiki,Commit_Count,Release_Count,Contributors_Count,Contributors
Cambrium-bio,low-N-protein-engineering,True,churchlab/low-N-protein-engineering,False,0,0,[],0,0,,True,True,1,1,1,"[{'user': 'surgebiswas', 'contributions': 1, 'location': None}]"
churchlab,low-N-protein-engineering,False,,,57,18,"[{'user': 'L96WAN', 'forked_at': '2023-10-27T09:58:20Z'}, {'user': 'NepsonTarget', 'forked_at': '2023-04-08T12:29:28Z'}, {'user': 'liumy923', 'forked_at': '2023-03-15T06:23:10Z'}, {'user': 'beamimc', 'forked_at': '2023-03-10T20:24:58Z'}, {'user': 'mehakrafiq', 'forked_at': '2022-12-12T19:35:46Z'}, {'user': 'nguyengenesis10', 'forked_at': '2022-10-12T22:10:19Z'}, {'user': 'andrewxue98', 'forked_at': '2022-10-06T19:32:49Z'}, {'user': 'ahrbadr', 'forked_at': '2022-05-16T17:56:00Z'}, {'user': 'minnegalieva', 'forked_at': '2022-05-11T19:56:25Z'}, {'user': 'Postcrystal', 'forked_at': '2022-05-05T12:01:10Z'}, {'user': 'robertlizatovic', 'forked_at': '2022-03-11T09:02:10Z'}, {'user': 'sailfish009', 'forked_at': '2021-08-21T04:49:59Z'}, {'user': 'shunsunsun', 'forked_at': '2021-07-17T08:22:41Z'}, {'user': 'vlpotapov', 'forked_at': '2021-06-24T14:58:58Z'}, {'user': 'mdavari', 'forked_at': '2021-06-11T10:45:29Z'}, {'user': 'Jhird', 'forked_at': '2021-05-31T03:09:47Z'}, {'user': 'hongzhonglu', 'forked_at': '2021-05-15T13:55:50Z'}, {'user': 'Cambrium-bio', 'forked_at': '2021-04-30T14:50:16Z'}]",4,0,1081.0,True,True,1,0,1,"[{'user': 'surgebiswas', 'contributions': 1, 'location': None}]"
Cambrium-bio,UniRep,True,churchlab/UniRep,False,0,0,[],0,0,,True,True,33,1,4,"[{'user': 'surgebiswas', 'contributions': 17, 'location': None}, {'user': 'sandias42', 'contributions': 7, 'location': None}, {'user': 'grnikh', 'contributions': 6, 'location': None}, {'user': 'mbergins', 'contributions': 1, 'location': 'Chapel Hill, NC'}]"
churchlab,UniRep,False,,,349,97,"[{'user': 'EDoutsi', 'forked_at': '2025-01-23T23:13:34Z'}, {'user': 'jleung26', 'forked_at': '2024-07-01T19:12:07Z'}, {'user': 'tabassumn', 'forked_at': '2024-06-03T22:46:50Z'}, {'user': 'emiliostassios', 'forked_at': '2024-05-01T09:17:44Z'}, {'user': 'pengsihua2023', 'forked_at': '2024-04-16T15:41:08Z'}, {'user': 'abhi-jha12', 'forked_at': '2023-12-22T19:40:54Z'}, {'user': 'dewoffall', 'forked_at': '2023-12-20T08:32:27Z'}, {'user': 'AnaAvdo', 'forked_at': '2023-12-05T16:55:17Z'}, {'user': 'zhengzha2000', 'forked_at': '2023-10-03T04:25:11Z'}, {'user': 'aaronkollasch', 'forked_at': '2023-06-05T20:10:21Z'}, {'user': 'jonathan-greenhalgh', 'forked_at': '2023-05-11T04:22:31Z'}, {'user': 'NepsonTarget', 'forked_at': '2023-04-08T12:31:57Z'}, {'user': 'beamimc', 'forked_at': '2023-02-21T20:43:24Z'}, {'user': '1004600683', 'forked_at': '2023-01-10T10:08:14Z'}, {'user': 'lyndonlens', 'forked_at': '2022-11-07T18:50:30Z'}, {'user': 'hwang-happy', 'forked_at': '2022-10-25T08:19:55Z'}, {'user': 'Jyunhying', 'forked_at': '2022-10-22T09:44:34Z'}, {'user': 'andrewxue98', 'forked_at': '2022-10-06T19:32:39Z'}, {'user': 'YitongTseo', 'forked_at': '2022-08-18T22:23:27Z'}, {'user': 'xkluan', 'forked_at': '2022-08-05T01:51:03Z'}, {'user': 'matteobolner', 'forked_at': '2022-06-22T20:07:51Z'}, {'user': 'yutaeho', 'forked_at': '2022-05-09T00:51:30Z'}, {'user': 'Postcrystal', 'forked_at': '2022-04-27T12:20:12Z'}, {'user': 'robertlizatovic', 'forked_at': '2022-03-10T10:36:24Z'}, {'user': 'WangHuiNEU', 'forked_at': '2022-01-15T09:20:06Z'}, {'user': 'zhangdachuanfoodies', 'forked_at': '2022-01-06T09:07:28Z'}, {'user': 'danielaags', 'forked_at': '2021-09-06T10:30:26Z'}, {'user': 'deeprob', 'forked_at': '2021-07-30T13:49:47Z'}, {'user': 'Tarun-Mahajan', 'forked_at': '2021-07-06T19:55:32Z'}, {'user': 'angelayoon', 'forked_at': '2021-07-01T09:25:29Z'}, {'user': 'vlpotapov', 'forked_at': '2021-06-24T15:12:43Z'}, {'user': 'Cw-beeb', 'forked_at': '2021-06-21T07:44:45Z'}, {'user': 'suvhd747', 'forked_at': '2021-06-16T19:30:09Z'}, {'user': 'mdavari', 'forked_at': '2021-06-11T10:45:36Z'}, {'user': 'frances1211', 'forked_at': '2021-06-06T22:29:16Z'}, {'user': 'sailfish009', 'forked_at': '2021-06-04T12:15:45Z'}, {'user': 'GeneEditor', 'forked_at': '2021-05-20T06:24:41Z'}, {'user': 'TimothyStiles', 'forked_at': '2021-05-14T21:57:44Z'}, {'user': 'emreozan', 'forked_at': '2021-05-14T13:22:10Z'}, {'user': 'Cambrium-bio', 'forked_at': '2021-04-30T14:56:39Z'}, {'user': 'zhenzey', 'forked_at': '2021-04-18T02:55:15Z'}, {'user': 'shunsunsun', 'forked_at': '2021-03-25T04:24:57Z'}, {'user': 'nekitmm', 'forked_at': '2021-02-22T18:04:18Z'}, {'user': 'jchooch', 'forked_at': '2021-02-17T00:03:56Z'}, {'user': 'jhshin-jlk', 'forked_at': '2021-02-15T05:59:22Z'}, {'user': 'ivorobyev', 'forked_at': '2021-02-09T13:40:19Z'}, {'user': 'DennisChen84', 'forked_at': '2021-02-01T21:07:08Z'}, {'user': 'yuleizh', 'forked_at': '2021-02-01T20:52:35Z'}, {'user': 'bwang-ecnu', 'forked_at': '2021-01-18T05:35:22Z'}, {'user': 'dm2469', 'forked_at': '2021-01-11T15:46:50Z'}, {'user': 'soberx1253', 'forked_at': '2020-12-21T02:02:37Z'}, {'user': 'heiidii', 'forked_at': '2020-12-08T20:02:36Z'}, {'user': 'totucuong', 'forked_at': '2020-12-03T13:50:26Z'}, {'user': 'ankushswar1', 'forked_at': '2020-10-21T09:28:36Z'}, {'user': 'Mohfg', 'forked_at': '2020-09-17T00:57:24Z'}, {'user': 'le-yuan', 'forked_at': '2020-08-25T10:48:22Z'}, {'user': 'skybrodowski', 'forked_at': '2020-08-04T19:09:14Z'}, {'user': 'epicrunze', 'forked_at': '2020-05-26T21:46:13Z'}, {'user': 'chloechsu', 'forked_at': '2020-05-11T17:50:36Z'}, {'user': 'ali-rudolph', 'forked_at': '2020-05-06T14:47:19Z'}, {'user': 'MukundhMurthy', 'forked_at': '2020-04-30T20:46:40Z'}, {'user': 'emilymak', 'forked_at': '2020-04-20T21:59:22Z'}, {'user': 'Bingbing19', 'forked_at': '2020-04-16T00:07:48Z'}, {'user': 'ivanjayapurna', 'forked_at': '2020-03-25T22:53:26Z'}, {'user': 'Umbriona', 'forked_at': '2020-03-23T10:05:16Z'}, {'user': 'akmorrow13', 'forked_at': '2020-03-19T22:26:07Z'}, {'user': 'andrewfavor95', 'forked_at': '2020-03-19T17:16:14Z'}, {'user': 'shechty2', 'forked_at': '2020-01-21T08:33:53Z'}, {'user': 'dmoshayof', 'forked_at': '2020-01-20T15:33:05Z'}, {'user': 'Jhird', 'forked_at': '2020-01-19T22:28:54Z'}, {'user': 'elyall', 'forked_at': '2020-01-18T23:32:43Z'}, {'user': 'awikner', 'forked_at': '2019-12-09T16:37:06Z'}, {'user': 'Elzahraa', 'forked_at': '2019-11-12T11:18:33Z'}, {'user': 'kimoyerr', 'forked_at': '2019-11-08T21:20:43Z'}, {'user': 'zpltys', 'forked_at': '2019-11-04T03:31:50Z'}, {'user': 'denisshepelin', 'forked_at': '2019-10-30T13:34:22Z'}, {'user': 'smsaladi', 'forked_at': '2019-10-27T14:50:43Z'}, {'user': 'gongyh', 'forked_at': '2019-10-24T15:16:06Z'}, {'user': 'hongzhonglu', 'forked_at': '2019-10-24T09:55:25Z'}, {'user': 'hephaex', 'forked_at': '2019-10-23T23:19:46Z'}, {'user': 'ArthDh', 'forked_at': '2019-10-23T14:16:11Z'}, {'user': 'dejavu2010', 'forked_at': '2019-10-22T15:38:25Z'}, {'user': 'codeaudit', 'forked_at': '2019-10-22T08:33:40Z'}, {'user': 'MauriceR71', 'forked_at': '2019-09-27T20:18:54Z'}, {'user': 'boyuezhong', 'forked_at': '2019-09-21T11:38:45Z'}, {'user': 'hmmartiny', 'forked_at': '2019-08-25T15:53:15Z'}, {'user': 'RensDimmendaal', 'forked_at': '2019-08-12T09:39:37Z'}, {'user': 'spark157', 'forked_at': '2019-08-02T16:12:55Z'}, {'user': 'pankev-in', 'forked_at': '2019-07-28T22:53:12Z'}, {'user': 'EsmaeilNourani', 'forked_at': '2019-07-19T19:25:55Z'}, {'user': 'duolinwang', 'forked_at': '2019-07-17T04:27:58Z'}, {'user': 'ibraheem-moosa', 'forked_at': '2019-07-09T03:16:21Z'}, {'user': 'roysh', 'forked_at': '2019-06-25T02:42:59Z'}, {'user': 'tamtzehei', 'forked_at': '2019-05-30T00:50:01Z'}, {'user': 'alex-hh', 'forked_at': '2019-05-03T16:43:12Z'}, {'user': 'sraghavan0610', 'forked_at': '2019-05-01T19:35:01Z'}, {'user': 'nitrogenase', 'forked_at': '2019-03-26T19:17:16Z'}]",6,26,6950694.409090909,True,True,33,0,4,"[{'user': 'surgebiswas', 'contributions': 17, 'location': None}, {'user': 'sandias42', 'contributions': 7, 'location': None}, {'user': 'grnikh', 'contributions': 6, 'location': None}, {'user': 'mbergins', 'contributions': 1, 'location': 'Chapel Hill, NC'}]"
Cambrium-bio,notionbackup,True,5hay/notionbackup,False,0,0,[],0,0,,True,False,3,0,1,"[{'user': '5hay', 'contributions': 3, 'location': 'Berlin'}]"
5hay,notionbackup,False,,,69,6,"[{'user': 'marleymcbride', 'forked_at': '2022-11-27T12:20:56Z'}, {'user': 'IlyaGutnikov', 'forked_at': '2022-04-10T10:44:26Z'}, {'user': 'masakaya', 'forked_at': '2022-03-30T00:06:42Z'}, {'user': 'Cambrium-bio', 'forked_at': '2021-08-02T11:07:11Z'}, {'user': 'Sharbal-Shuker', 'forked_at': '2021-06-07T07:01:52Z'}, {'user': 'oceanscape', 'forked_at': '2021-04-17T12:10:38Z'}]",1,1,982343.5,True,False,4,1,1,"[{'user': '5hay', 'contributions': 4, 'location': 'Berlin'}]"
Cambrium-bio,alphafold,True,google-deepmind/alphafold,False,0,0,[],0,0,,True,False,29,0,6,"[{'user': 'Augustin-Zidek', 'contributions': 12, 'location': None}, {'user': 'tomwardio', 'contributions': 2, 'location': 'London, UK'}, {'user': 'andycowie', 'contributions': 1, 'location': None}, {'user': 'mfigurnov', 'contributions': 1, 'location': 'London, UK'}, {'user': 'rich12321', 'contributions': 1, 'location': None}, {'user': 'saran-t', 'contributions': 1, 'location': 'London, UK'}]"
google-deepmind,alphafold,False,,,13263,2343,"[{'user': 'cc-cute24', 'forked_at': '2025-02-25T06:53:57Z'}, {'user': 'XWeiZhou', 'forked_at': '2025-02-24T13:20:06Z'}, {'user': 'rosyben', 'forked_at': '2025-02-24T06:02:26Z'}, {'user': 'hiatusss', 'forked_at': '2025-02-22T22:17:54Z'}, {'user': 'MisterEkole', 'forked_at': '2025-02-21T19:20:15Z'}, {'user': 'xingxingshen', 'forked_at': '2025-02-19T09:53:00Z'}, {'user': 'abdulrahman305', 'forked_at': '2025-02-18T15:54:43Z'}, {'user': 'Marc-commits', 'forked_at': '2025-02-17T16:50:58Z'}, {'user': 'StewartNash', 'forked_at': '2025-02-17T16:25:44Z'}, {'user': 'Pankaj-Leo', 'forked_at': '2025-02-16T22:58:52Z'}, {'user': 'tonggao1024', 'forked_at': '2025-02-15T16:23:28Z'}, {'user': 'Xbuk13', 'forked_at': '2025-02-15T08:02:19Z'}, {'user': 'kamranahmmed786', 'forked_at': '2025-02-14T14:40:24Z'}, {'user': 'Harsh-pandya', 'forked_at': '2025-02-13T23:45:10Z'}, {'user': 'daisukekubota0823', 'forked_at': '2025-02-13T23:40:37Z'}, {'user': 'tecworks-dev', 'forked_at': '2025-02-12T16:23:15Z'}, {'user': 'aashu2303', 'forked_at': '2025-02-12T08:01:37Z'}, {'user': 'tao-physics', 'forked_at': '2025-02-12T07:31:18Z'}, {'user': 'S18-Niloy', 'forked_at': '2025-02-12T04:36:58Z'}, {'user': 'EytanRozenblum', 'forked_at': '2025-02-11T20:08:50Z'}, {'user': 'HussainAther', 'forked_at': '2025-02-11T17:16:13Z'}, {'user': 'SergeWang', 'forked_at': '2025-02-11T12:52:33Z'}, {'user': 'ASGDLO', 'forked_at': '2025-02-10T23:43:30Z'}, {'user': 'vkd0726', 'forked_at': '2025-02-10T14:37:04Z'}, {'user': 'OccupyMars2025', 'forked_at': '2025-02-10T11:17:09Z'}, {'user': 'pumpfold', 'forked_at': '2025-02-10T10:04:51Z'}, {'user': 'fteveam', 'forked_at': '2025-02-10T09:59:58Z'}, {'user': 'yzy1997', 'forked_at': '2025-02-07T17:03:36Z'}, {'user': 'shilpasy', 'forked_at': '2025-02-05T19:33:28Z'}, {'user': 'Worldtech21', 'forked_at': '2025-02-03T10:51:53Z'}, {'user': 'choderalab', 'forked_at': '2025-01-28T19:44:51Z'}, {'user': 'Hashim-foodchem', 'forked_at': '2025-01-27T16:51:13Z'}, {'user': 'BozyelOzan', 'forked_at': '2025-01-26T09:38:15Z'}, {'user': 'Bhazantri', 'forked_at': '2025-01-23T18:32:32Z'}, {'user': 'eigensciences', 'forked_at': '2025-01-21T04:39:46Z'}, {'user': 'Kophalycha', 'forked_at': '2025-01-20T01:03:11Z'}, {'user': 'tangchaous', 'forked_at': '2025-01-18T18:26:03Z'}, {'user': 'wangckun', 'forked_at': '2025-01-17T08:37:07Z'}, {'user': 'arminsl', 'forked_at': '2025-01-15T10:39:44Z'}, {'user': 'lordlxh', 'forked_at': '2025-01-13T07:57:15Z'}, {'user': 'shitao0713', 'forked_at': '2025-01-08T03:59:20Z'}, {'user': 'vrbouza', 'forked_at': '2025-01-07T14:45:37Z'}, {'user': 'renzilin', 'forked_at': '2025-01-07T08:13:42Z'}, {'user': 'ncsala', 'forked_at': '2025-01-07T05:33:10Z'}, {'user': 'IMYR666', 'forked_at': '2025-01-07T02:15:57Z'}, {'user': 'wangduolin520', 'forked_at': '2025-01-05T08:02:09Z'}, {'user': 'ashuwhy', 'forked_at': '2025-01-04T10:53:02Z'}, {'user': 'zhang9song', 'forked_at': '2025-01-03T05:56:23Z'}, {'user': 'yipingshen2018', 'forked_at': '2025-01-03T00:42:59Z'}, {'user': 'jb2605', 'forked_at': '2025-01-02T17:49:43Z'}, {'user': 'Cater36039', 'forked_at': '2025-01-02T06:34:50Z'}, {'user': 'phanich004', 'forked_at': '2025-01-02T05:28:53Z'}, {'user': 'Qatxhskoplavx', 'forked_at': '2024-12-30T13:41:04Z'}, {'user': 'pskepslilly', 'forked_at': '2024-12-29T23:06:40Z'}, {'user': 'upmsilab', 'forked_at': '2024-12-29T14:57:49Z'}, {'user': 'minh-le-q', 'forked_at': '2024-12-24T22:51:14Z'}, {'user': 'dfqytcom', 'forked_at': '2024-12-24T03:02:19Z'}, {'user': 'isabella232', 'forked_at': '2024-12-22T16:35:09Z'}, {'user': 'cg24-THU', 'forked_at': '2024-12-20T16:47:42Z'}, {'user': 'AITricia', 'forked_at': '2024-12-20T05:17:26Z'}, {'user': 'sunnyc7', 'forked_at': '2024-12-18T19:35:29Z'}, {'user': 'cybersamurai2410', 'forked_at': '2024-12-15T13:28:25Z'}, {'user': 'rkrai1', 'forked_at': '2024-12-12T14:17:36Z'}, {'user': 'mauriziocarioli', 'forked_at': '2024-12-11T21:26:13Z'}, {'user': 'loggy01', 'forked_at': '2024-12-11T18:40:26Z'}, {'user': 'jetztlos', 'forked_at': '2024-12-11T12:50:02Z'}, {'user': 'SKKUGE', 'forked_at': '2024-12-11T07:48:24Z'}, {'user': 'citymap', 'forked_at': '2024-12-11T03:21:08Z'}, {'user': 'rachelse', 'forked_at': '2024-12-10T13:21:27Z'}, {'user': 'tekrajchhetri', 'forked_at': '2024-12-09T20:08:22Z'}, {'user': 'kohjt', 'forked_at': '2024-12-09T05:04:05Z'}, {'user': 'mengjin001', 'forked_at': '2024-12-08T08:02:49Z'}, {'user': 'twobob', 'forked_at': '2024-12-05T16:54:28Z'}, {'user': 'vivante', 'forked_at': '2024-12-03T16:38:38Z'}, {'user': 'linxingchen', 'forked_at': '2024-12-03T15:14:20Z'}, {'user': 'Fvrewe11', 'forked_at': '2024-12-02T08:47:32Z'}, {'user': 'ComputationalAgronomy', 'forked_at': '2024-12-02T03:25:33Z'}, {'user': 'fly9090', 'forked_at': '2024-11-29T11:35:05Z'}, {'user': 'galsang-git', 'forked_at': '2024-11-27T08:44:20Z'}, {'user': 'ubc-tuehoang', 'forked_at': '2024-11-24T03:20:38Z'}, {'user': 'Rjones13devg', 'forked_at': '2024-11-22T22:32:12Z'}, {'user': 'BITCS2001', 'forked_at': '2024-11-21T04:55:16Z'}, {'user': 'oplad', 'forked_at': '2024-11-20T10:33:05Z'}, {'user': 'monad-one', 'forked_at': '2024-11-19T15:36:45Z'}, {'user': 'ChrisHayduk', 'forked_at': '2024-11-15T19:26:02Z'}, {'user': 'hengrumay', 'forked_at': '2024-11-15T15:50:43Z'}, {'user': 'mudassirshiekh', 'forked_at': '2024-11-15T10:37:29Z'}, {'user': 'prannoygiri', 'forked_at': '2024-11-15T10:04:46Z'}, {'user': 'KoushikCSN', 'forked_at': '2024-11-15T02:20:49Z'}, {'user': 'kisubkim', 'forked_at': '2024-11-15T00:36:57Z'}, {'user': 'supekshala', 'forked_at': '2024-11-14T17:00:17Z'}, {'user': 'JiaTR0626', 'forked_at': '2024-11-14T08:02:00Z'}, {'user': 'gte861f', 'forked_at': '2024-11-14T05:13:53Z'}, {'user': 'ZeroXClem', 'forked_at': '2024-11-14T02:03:10Z'}, {'user': 'alapollon', 'forked_at': '2024-11-13T16:12:20Z'}, {'user': 'bogasamet', 'forked_at': '2024-11-13T15:03:47Z'}, {'user': 'panickervinod', 'forked_at': '2024-11-13T10:05:23Z'}, {'user': 'shujuan-zhao', 'forked_at': '2024-11-12T21:33:26Z'}, {'user': 'tangnotes', 'forked_at': '2024-11-12T20:05:17Z'}, {'user': 'MasterToycode', 'forked_at': '2024-11-12T08:08:36Z'}]",290,30,1462722.12,True,False,156,13,17,"[{'user': 'Augustin-Zidek', 'contributions': 56, 'location': None}, {'user': 'Htomlinson14', 'contributions': 29, 'location': 'London, United Kingdom'}, {'user': 'tomwardio', 'contributions': 10, 'location': 'London, UK'}, {'user': 'rich12321', 'contributions': 6, 'location': None}, {'user': 'hawkinsp', 'contributions': 5, 'location': 'Princeton, NJ'}, {'user': 'andycowie', 'contributions': 4, 'location': None}, {'user': 'alexanderimanicowenrivers', 'contributions': 3, 'location': 'London'}, {'user': 'sbodenstein', 'contributions': 3, 'location': 'London'}, {'user': 'dlasecki', 'contributions': 2, 'location': 'London, UK'}, {'user': 'Jane333', 'contributions': 2, 'location': 'United Kingdom'}, {'user': 'mfigurnov', 'contributions': 2, 'location': 'London, UK'}, {'user': 'joshabramson', 'contributions': 1, 'location': 'London'}, {'user': 'mattjj', 'contributions': 1, 'location': 'San Francisco'}, {'user': 'rchen152', 'contributions': 1, 'location': None}, {'user': 'saran-t', 'contributions': 1, 'location': 'London, UK'}, {'user': 'tfgg', 'contributions': 1, 'location': 'London'}, {'user': 'tomhennigan', 'contributions': 1, 'location': 'London, UK'}]"
Cambrium-bio,dockerfiles,True,GenomiqueENS/dockerfiles,False,0,0,[],0,0,,True,True,396,0,9,"[{'user': 'sophielemoine', 'contributions': 87, 'location': None}, {'user': 'jourdren', 'contributions': 82, 'location': 'Paris'}, {'user': 'cberthelier', 'contributions': 44, 'location': None}, {'user': 'AlexandraBomane', 'contributions': 16, 'location': 'Lyon'}, {'user': 'laffayb', 'contributions': 4, 'location': None}, {'user': 'cfirmo', 'contributions': 3, 'location': None}, {'user': 'chernan', 'contributions': 1, 'location': 'Gif-sur-Yvette'}, {'user': 'GreetDB', 'contributions': 1, 'location': None}, {'user': 'Lehnt', 'contributions': 1, 'location': None}]"
GenomiqueENS,dockerfiles,False,,,82,23,"[{'user': 'ADYZD', 'forked_at': '2023-06-29T10:38:28Z'}, {'user': 'lqsae', 'forked_at': '2022-08-16T03:03:22Z'}, {'user': 'ricardojacomini', 'forked_at': '2022-04-21T20:41:32Z'}, {'user': 'umahsn', 'forked_at': '2022-03-28T16:18:33Z'}, {'user': 'SorelleB', 'forked_at': '2022-03-22T23:22:54Z'}, {'user': 'Cambrium-bio', 'forked_at': '2021-11-18T15:17:47Z'}, {'user': 'cgpu', 'forked_at': '2021-05-11T22:20:05Z'}, {'user': 'sschmeier', 'forked_at': '2021-03-10T06:48:45Z'}, {'user': 'fonyambu', 'forked_at': '2019-11-05T17:35:03Z'}, {'user': 'MattMcL4475', 'forked_at': '2019-02-19T23:18:42Z'}, {'user': 'LehmannN', 'forked_at': '2017-10-20T11:45:01Z'}, {'user': 'resurgo-genetics', 'forked_at': '2017-09-24T11:31:21Z'}, {'user': 'buco', 'forked_at': '2017-09-14T19:07:05Z'}, {'user': 'rintukutum', 'forked_at': '2017-09-03T17:16:28Z'}, {'user': 'BioCogito', 'forked_at': '2017-09-03T15:34:44Z'}, {'user': 'snewhouse', 'forked_at': '2017-09-03T06:00:04Z'}, {'user': 'jameslz', 'forked_at': '2017-09-02T17:21:44Z'}, {'user': 'pansapiens', 'forked_at': '2017-02-17T01:08:50Z'}, {'user': 'GreetDB', 'forked_at': '2016-05-20T10:26:54Z'}, {'user': 'AlexandraBomane', 'forked_at': '2015-12-11T09:33:51Z'}, {'user': 'dyndna', 'forked_at': '2015-04-24T07:06:43Z'}, {'user': 'MaayanLab', 'forked_at': '2015-04-07T20:52:26Z'}]",0,12,85178.0,True,True,398,0,9,"[{'user': 'sophielemoine', 'contributions': 87, 'location': None}, {'user': 'jourdren', 'contributions': 84, 'location': 'Paris'}, {'user': 'cberthelier', 'contributions': 44, 'location': None}, {'user': 'AlexandraBomane', 'contributions': 16, 'location': 'Lyon'}, {'user': 'laffayb', 'contributions': 4, 'location': None}, {'user': 'cfirmo', 'contributions': 3, 'location': None}, {'user': 'chernan', 'contributions': 1, 'location': 'Gif-sur-Yvette'}, {'user': 'GreetDB', 'contributions': 1, 'location': None}, {'user': 'Lehnt', 'contributions': 1, 'location': None}]"
