Organization,Repository,Is_Fork,Parent_Repo,Parent_Archived,Stars,Forks,Forks_History,Open_Issues,Closed_Issues,Avg_Response_Time (sec),Has_README,Has_Wiki,Commit_Count,Release_Count,Contributors_Count,Contributors
thehyve,transmartApp,True,transmart/transmartApp,False,0,7,"[{'user': 'intrixius', 'forked_at': '2014-08-27T10:50:03Z'}, {'user': 'bzack', 'forked_at': '2014-07-15T19:53:28Z'}, {'user': 'jochemb', 'forked_at': '2014-03-21T15:46:36Z'}, {'user': 'FreekDB', 'forked_at': '2014-03-06T11:09:04Z'}, {'user': 'j-hudecek', 'forked_at': '2014-02-24T08:02:29Z'}, {'user': 'charlotte-raillere', 'forked_at': '2013-09-26T08:22:37Z'}, {'user': 'rnugraha', 'forked_at': '2013-03-18T10:23:07Z'}]",1,30,,True,True,1510,3,24,"[{'user': 'fguitton', 'contributions': 245, 'location': 'London'}, {'user': 'cataphract', 'contributions': 203, 'location': 'Almada, Portugal'}, {'user': 'jboles', 'contributions': 111, 'location': 'Pennsylvania, USA'}, {'user': 'gtarcea', 'contributions': 61, 'location': 'Ann Arbor, MI'}, {'user': 'rnugraha', 'contributions': 42, 'location': 'Utrecht'}, {'user': 'Terry-Weymouth', 'contributions': 40, 'location': 'Royal Oak, MI, USA'}, {'user': 'jinlei', 'contributions': 38, 'location': None}, {'user': 'mconser', 'contributions': 36, 'location': None}, {'user': 'keesvanbochove', 'contributions': 34, 'location': 'Utrecht, Netherlands'}, {'user': 'eugene-rakhmatulin', 'contributions': 33, 'location': 'Carlsbad, CA'}, {'user': 'roberthorlings', 'contributions': 30, 'location': 'Utrecht, The Netherlands'}, {'user': 'evanswang', 'contributions': 9, 'location': 'London, UK'}, {'user': 'ricepeterm', 'contributions': 9, 'location': 'Royston, UK'}, {'user': 'munikuntla', 'contributions': 6, 'location': 'Boston, MA'}, {'user': 'mtmcduffie', 'contributions': 6, 'location': 'Boston, MA'}, {'user': 'haarts', 'contributions': 4, 'location': 'Netherlands'}, {'user': 'forus', 'contributions': 4, 'location': 'Utrecht'}, {'user': 'zwright', 'contributions': 4, 'location': 'Ann Arbor, Michigan, United States'}, {'user': 'augures', 'contributions': 3, 'location': None}, {'user': 'DanielPletea', 'contributions': 3, 'location': None}, {'user': 'alchimystic', 'contributions': 2, 'location': 'Sesimbra'}, {'user': 'JanKanis', 'contributions': 1, 'location': None}, {'user': 'cdejonge', 'contributions': 1, 'location': None}, {'user': 'intrixius', 'contributions': 1, 'location': 'Belgium'}]"
transmart,transmartApp,False,,,71,74,"[{'user': 'evadalak', 'forked_at': '2023-03-29T12:25:57Z'}, {'user': 'Anyaoha', 'forked_at': '2022-06-25T15:47:15Z'}, {'user': 'Sjenica1', 'forked_at': '2021-03-18T16:34:20Z'}, {'user': 'rpatil524', 'forked_at': '2018-10-20T15:28:18Z'}, {'user': 'datnoor', 'forked_at': '2018-04-18T17:42:49Z'}, {'user': 'hirschf', 'forked_at': '2017-01-25T03:04:15Z'}, {'user': 'kronoma', 'forked_at': '2016-07-12T17:13:40Z'}, {'user': 'anthony-o', 'forked_at': '2016-06-24T09:12:54Z'}, {'user': 'freestatman', 'forked_at': '2016-04-24T11:49:49Z'}, {'user': 'JanKanis', 'forked_at': '2015-11-26T10:04:32Z'}, {'user': 'evanswang', 'forked_at': '2015-11-13T15:02:50Z'}, {'user': 'dwerbam', 'forked_at': '2015-10-01T12:53:00Z'}, {'user': 'ricepeterm', 'forked_at': '2015-09-07T09:29:46Z'}, {'user': 'tranSMART-Foundation', 'forked_at': '2015-09-03T17:41:41Z'}, {'user': 'hms-dbmi', 'forked_at': '2015-07-17T17:55:49Z'}, {'user': 'UMich-Transmart', 'forked_at': '2015-05-27T11:59:58Z'}, {'user': 'e-plus-healthcare-alliance', 'forked_at': '2015-05-21T11:12:36Z'}, {'user': 'ekospinach', 'forked_at': '2015-05-16T13:44:39Z'}, {'user': 'Clarivate-LSPS', 'forked_at': '2015-05-15T16:41:11Z'}, {'user': 'zwright', 'forked_at': '2015-05-04T15:00:44Z'}, {'user': 'biogen-tm', 'forked_at': '2015-04-24T14:48:07Z'}, {'user': 'spacemm', 'forked_at': '2015-04-14T16:16:56Z'}, {'user': 'dennyverbeeck', 'forked_at': '2015-04-07T13:02:35Z'}, {'user': 'RiponK', 'forked_at': '2015-03-31T10:12:15Z'}, {'user': 'sysINFLAME', 'forked_at': '2015-03-27T13:34:22Z'}, {'user': 'abasu41', 'forked_at': '2015-03-04T18:42:27Z'}, {'user': 'CharlesZ-Chen', 'forked_at': '2015-03-04T01:36:51Z'}, {'user': 'haiqingli', 'forked_at': '2015-02-20T04:13:04Z'}, {'user': 'sijinaccount', 'forked_at': '2015-02-12T12:10:52Z'}, {'user': 'evast', 'forked_at': '2014-12-17T16:16:49Z'}, {'user': 'DexStr', 'forked_at': '2014-12-12T16:25:14Z'}, {'user': 'aishwaryaalex', 'forked_at': '2014-11-27T09:31:07Z'}, {'user': 'ranchobiosciences', 'forked_at': '2014-11-11T15:25:51Z'}, {'user': 'waveaccess', 'forked_at': '2014-11-04T10:56:05Z'}, {'user': 'olvitole', 'forked_at': '2014-09-25T05:54:59Z'}, {'user': 'mirasrael', 'forked_at': '2014-09-01T13:32:14Z'}, {'user': 'UMich-Neptune-Transmart', 'forked_at': '2014-08-11T14:57:20Z'}, {'user': 'smartu7', 'forked_at': '2014-07-31T02:04:59Z'}, {'user': 'akhandeshi', 'forked_at': '2014-07-19T01:40:42Z'}, {'user': 'TimmyStorms', 'forked_at': '2014-01-14T14:57:36Z'}, {'user': 'selvabioinfo', 'forked_at': '2013-11-15T15:01:11Z'}, {'user': 'haarts', 'forked_at': '2013-11-12T12:58:00Z'}, {'user': 'Genedata', 'forked_at': '2013-10-11T16:46:18Z'}, {'user': 'LeonidRomanovskii', 'forked_at': '2013-09-16T12:38:48Z'}, {'user': 'harinigopalakrishnan', 'forked_at': '2013-08-27T19:27:58Z'}, {'user': 'freezby', 'forked_at': '2013-07-08T08:53:24Z'}, {'user': 'raghav2013', 'forked_at': '2013-04-09T09:33:10Z'}, {'user': 'vmahavis', 'forked_at': '2013-03-19T16:26:11Z'}, {'user': 'mikewestaway', 'forked_at': '2013-02-26T16:09:57Z'}, {'user': 'eugene-rakhmatulin', 'forked_at': '2012-10-02T18:27:45Z'}, {'user': 'jinlei', 'forked_at': '2012-07-27T12:36:14Z'}, {'user': 'thehyve', 'forked_at': '2012-04-26T15:36:05Z'}, {'user': 'NCIBI', 'forked_at': '2012-03-13T19:09:21Z'}]",1,30,,True,False,3780,1,43,"[{'user': 'fguitton', 'contributions': 714, 'location': 'London'}, {'user': 'cataphract', 'contributions': 386, 'location': 'Almada, Portugal'}, {'user': 'ricepeterm', 'contributions': 216, 'location': 'Royston, UK'}, {'user': 'Terry-Weymouth', 'contributions': 183, 'location': 'Royal Oak, MI, USA'}, {'user': 'wvetrone', 'contributions': 136, 'location': 'Newton, MA'}, {'user': 'jboles', 'contributions': 111, 'location': 'Pennsylvania, USA'}, {'user': 'rnugraha', 'contributions': 99, 'location': 'Utrecht'}, {'user': 'davidxn', 'contributions': 80, 'location': None}, {'user': 'JanKanis', 'contributions': 79, 'location': None}, {'user': 'gtarcea', 'contributions': 61, 'location': 'Ann Arbor, MI'}, {'user': 'dennyverbeeck', 'contributions': 57, 'location': 'Beerse'}, {'user': 'forus', 'contributions': 52, 'location': 'Utrecht'}, {'user': 'aoehmichen', 'contributions': 50, 'location': 'London'}, {'user': 'roberthorlings', 'contributions': 42, 'location': 'Utrecht, The Netherlands'}, {'user': 'jinlei', 'contributions': 40, 'location': None}, {'user': 'mconser', 'contributions': 36, 'location': None}, {'user': 'keesvanbochove', 'contributions': 34, 'location': 'Utrecht, Netherlands'}, {'user': 'eugene-rakhmatulin', 'contributions': 33, 'location': 'Carlsbad, CA'}, {'user': 'techick', 'contributions': 28, 'location': 'London'}, {'user': 'mtmcduffie', 'contributions': 26, 'location': 'Boston, MA'}, {'user': 'amerikan', 'contributions': 26, 'location': 'California'}, {'user': 'haarts', 'contributions': 19, 'location': 'Netherlands'}, {'user': 'gijskant', 'contributions': 14, 'location': 'Utrecht, The Netherlands'}, {'user': 'evanswang', 'contributions': 9, 'location': 'London, UK'}, {'user': 'anthony-o', 'contributions': 8, 'location': None}, {'user': 'evast', 'contributions': 8, 'location': 'Rotterdam, The Netherlands'}, {'user': 'sherzinger', 'contributions': 7, 'location': 'Luxembourg'}, {'user': 'munikuntla', 'contributions': 6, 'location': 'Boston, MA'}, {'user': 'zwright', 'contributions': 6, 'location': 'Ann Arbor, Michigan, United States'}, {'user': 'alchimystic', 'contributions': 5, 'location': 'Sesimbra'}, {'user': 'hberube', 'contributions': 5, 'location': 'Cambridge, MA'}, {'user': 'KingstonDuo', 'contributions': 4, 'location': None}, {'user': 'cuhrich', 'contributions': 4, 'location': None}, {'user': 'baroleg', 'contributions': 3, 'location': None}, {'user': 'augures', 'contributions': 3, 'location': None}, {'user': 'j-hudecek', 'contributions': 3, 'location': None}, {'user': 'cdejonge', 'contributions': 3, 'location': None}, {'user': 'DanielPletea', 'contributions': 2, 'location': None}, {'user': 'berubh', 'contributions': 2, 'location': None}, {'user': 'dwerbam', 'contributions': 1, 'location': None}, {'user': 'sdenizot', 'contributions': 1, 'location': 'Paris'}, {'user': 'akhandeshi', 'contributions': 1, 'location': None}, {'user': 'ewelinagr', 'contributions': 1, 'location': 'Utrecht, The Netherlands'}]"
thehyve,GSCF,True,PhenotypeFoundation/PhenotypeDatabase,False,4,2,"[{'user': 'roberthorlings', 'forked_at': '2013-08-05T09:20:42Z'}, {'user': 'GuidoLeoni', 'forked_at': '2012-06-19T10:43:03Z'}]",0,12,,True,True,3358,0,15,"[{'user': 'roberthorlings', 'contributions': 377, 'location': 'Utrecht, The Netherlands'}, {'user': 'keesvanbochove', 'contributions': 366, 'location': 'Utrecht, Netherlands'}, {'user': 'tjeerdnet', 'contributions': 249, 'location': None}, {'user': 'ferryjagers', 'contributions': 237, 'location': 'Zeist'}, {'user': 'jtsaito', 'contributions': 134, 'location': None}, {'user': 'siemensikkema', 'contributions': 81, 'location': 'Aarhus'}, {'user': 'sethsnel', 'contributions': 66, 'location': 'Utrecht'}, {'user': 'michaelvanvliet', 'contributions': 35, 'location': 'The Netherlands'}, {'user': '4np', 'contributions': 31, 'location': 'The Netherlands'}, {'user': 'TacoSteemers', 'contributions': 28, 'location': 'Netherlands'}, {'user': 'vinlud', 'contributions': 26, 'location': None}, {'user': 'varaprasad22', 'contributions': 10, 'location': None}, {'user': 'rernst', 'contributions': 3, 'location': None}, {'user': 'HeleenDeWeerd', 'contributions': 1, 'location': None}, {'user': 'erikroos', 'contributions': 1, 'location': 'Paterswolde, the Netherlands'}]"
PhenotypeFoundation,PhenotypeDatabase,False,,,10,8,"[{'user': 'wshusheng', 'forked_at': '2019-03-06T00:15:08Z'}, {'user': 'TNO', 'forked_at': '2015-08-24T12:45:49Z'}, {'user': 'AmirSAKKA', 'forked_at': '2015-01-06T01:59:19Z'}, {'user': 'michaelvanvliet', 'forked_at': '2014-04-01T19:24:36Z'}, {'user': 'keesvanbochove', 'forked_at': '2013-03-06T15:07:11Z'}, {'user': 'thehyve', 'forked_at': '2012-06-05T10:55:45Z'}]",14,30,101483.45454545454,True,True,3440,0,16,"[{'user': 'roberthorlings', 'contributions': 376, 'location': 'Utrecht, The Netherlands'}, {'user': 'keesvanbochove', 'contributions': 366, 'location': 'Utrecht, Netherlands'}, {'user': 'ferryjagers', 'contributions': 322, 'location': 'Zeist'}, {'user': 'tjeerdnet', 'contributions': 249, 'location': None}, {'user': 'jtsaito', 'contributions': 134, 'location': None}, {'user': 'siemensikkema', 'contributions': 81, 'location': 'Aarhus'}, {'user': 'sethsnel', 'contributions': 64, 'location': 'Utrecht'}, {'user': 'michaelvanvliet', 'contributions': 35, 'location': 'The Netherlands'}, {'user': '4np', 'contributions': 31, 'location': 'The Netherlands'}, {'user': 'TacoSteemers', 'contributions': 28, 'location': 'Netherlands'}, {'user': 'vinlud', 'contributions': 26, 'location': None}, {'user': 'varaprasad22', 'contributions': 10, 'location': None}, {'user': 'rernst', 'contributions': 3, 'location': None}, {'user': 'remondulos', 'contributions': 2, 'location': None}, {'user': 'HeleenDeWeerd', 'contributions': 1, 'location': None}, {'user': 'erikroos', 'contributions': 1, 'location': 'Paterswolde, the Netherlands'}]"
thehyve,matrixImporter,False,,,3,2,"[{'user': 'jamroks', 'forked_at': '2015-06-01T23:39:40Z'}, {'user': 'PhenotypeFoundation', 'forked_at': '2012-06-05T13:56:40Z'}]",0,2,,False,True,49,0,5,"[{'user': 'siemensikkema', 'contributions': 18, 'location': 'Aarhus'}, {'user': 'roberthorlings', 'contributions': 6, 'location': 'Utrecht, The Netherlands'}, {'user': 'btvandijk', 'contributions': 2, 'location': None}, {'user': 'ferryjagers', 'contributions': 1, 'location': 'Zeist'}, {'user': 'keesvanbochove', 'contributions': 1, 'location': 'Utrecht, Netherlands'}]"
thehyve,dbxpModuleBase,False,,,4,2,"[{'user': 'NetherlandsMetabolomicsCentre', 'forked_at': '2012-06-07T08:57:55Z'}, {'user': 'PhenotypeFoundation', 'forked_at': '2012-06-05T14:56:34Z'}]",2,1,1113901.0,True,True,107,0,5,"[{'user': 'siemensikkema', 'contributions': 21, 'location': 'Aarhus'}, {'user': 'keesvanbochove', 'contributions': 20, 'location': 'Utrecht, Netherlands'}, {'user': 'michaelvanvliet', 'contributions': 10, 'location': 'The Netherlands'}, {'user': 'ferryjagers', 'contributions': 1, 'location': 'Zeist'}, {'user': 'tjeerdnet', 'contributions': 1, 'location': None}]"
thehyve,SAM,False,,,3,1,"[{'user': 'PhenotypeFoundation', 'forked_at': '2013-03-08T16:43:27Z'}]",1,6,13629.0,False,True,391,0,3,"[{'user': 'keesvanbochove', 'contributions': 22, 'location': 'Utrecht, Netherlands'}, {'user': 'TacoSteemers', 'contributions': 7, 'location': 'Netherlands'}, {'user': 'btvandijk', 'contributions': 2, 'location': None}]"
thehyve,variant,False,,,1,0,[],0,0,,False,True,181,0,3,"[{'user': 'roberthorlings', 'contributions': 42, 'location': 'Utrecht, The Netherlands'}, {'user': 'rvanlaar', 'contributions': 3, 'location': 'Netherlands'}, {'user': 'keesvanbochove', 'contributions': 1, 'location': 'Utrecht, Netherlands'}]"
thehyve,dbxpModuleStorage,True,NetherlandsMetabolomicsCentre/dbxpModuleStorage,False,1,0,[],0,1,,True,True,86,0,4,"[{'user': 'siemensikkema', 'contributions': 54, 'location': 'Aarhus'}, {'user': 'keesvanbochove', 'contributions': 8, 'location': 'Utrecht, Netherlands'}, {'user': 'michaelvanvliet', 'contributions': 6, 'location': 'The Netherlands'}, {'user': 'tjeerdnet', 'contributions': 2, 'location': None}]"
NetherlandsMetabolomicsCentre,dbxpModuleStorage,False,,,1,1,"[{'user': 'thehyve', 'forked_at': '2012-06-27T12:00:27Z'}]",0,1,,True,False,89,0,4,"[{'user': 'siemensikkema', 'contributions': 54, 'location': 'Aarhus'}, {'user': 'keesvanbochove', 'contributions': 9, 'location': 'Utrecht, Netherlands'}, {'user': 'michaelvanvliet', 'contributions': 8, 'location': 'The Netherlands'}, {'user': 'tjeerdnet', 'contributions': 2, 'location': None}]"
