id,title,state,created_at,updated_at,closed_at,body,user,url
MDU6SXNzdWUyMTk1NzU5ODc=,Project flag,OPEN,2017-04-05T13:06:24Z,2017-04-05T13:06:24Z,,"It would be great to have a project flag to specify the:
#SBATCH -A project_id

that is seperate from the very specific uppmax flag. If one does not use the uppmax flag you have to manually replace the None with the appropriate project_id before launching the sbatch scripts.",henrikstranneheim,https://github.com/vezzi/joint_variant_calling/issues/2
MDU6SXNzdWUyMTk1NzYyNTg=,Make the module load commmands optional,OPEN,2017-04-05T13:07:13Z,2017-04-05T13:07:13Z,,They are specfic to uppmax. It would be great if one could make the use of them boolean.,henrikstranneheim,https://github.com/vezzi/joint_variant_calling/issues/3
