id,title,state,created_at,updated_at,closed_at,body,user,url
MDU6SXNzdWUyNDQ2ODYzMzI=,Support Additional VCF Format Fields,CLOSED,2017-07-21T14:30:18Z,2018-05-22T12:29:59Z,2018-05-22T12:29:59Z,"Add support for DP, EC, etc.",jonathonl,https://github.com/statgen/savvy/issues/1
MDU6SXNzdWUzNDc1MDk3NjY=,Update index during concat,CLOSED,2018-08-03T19:23:22Z,2021-01-24T21:18:44Z,2021-01-24T21:18:44Z,Merge index files into one when concatenating. ,jonathonl,https://github.com/statgen/savvy/issues/3
MDU6SXNzdWUzNDc1MTAzMjM=,Merge headers during concat,CLOSED,2018-08-03T19:25:34Z,2019-01-29T17:06:34Z,2019-01-29T17:06:34Z,Missing contig headers could cause problems downstream.,jonathonl,https://github.com/statgen/savvy/issues/4
MDU6SXNzdWUzNDg4ODIyNzk=,no warning if sample-ids-file is missing,CLOSED,2018-08-08T20:36:07Z,2019-04-26T15:42:31Z,2019-04-26T15:42:31Z,"Hi, Jonathon,

`sav export --sample-ids-file XXX` will output the whole data if the --sample-ids-file is missing (I had a typo in the file name and no warning message showed up).

Thanks,
Lars",ilarsf,https://github.com/statgen/savvy/issues/5
MDU6SXNzdWUzNjg3MDkxMzU=,sav export vcf / AF is updated MAF not,CLOSED,2018-10-10T14:58:54Z,2019-01-29T17:05:56Z,2019-01-29T17:05:55Z,"Hi Jonathon,

when I export a subset with
`sav export --sample-ids <SAMPLE ID> --file-format vcf <in.sav> <out.vcf>`
I found that savvy updated the INFO/AF which is a great feature. However, the INFO/MAF remained unchanged.

FYI: I'm using the latest savvy version in your home directory 

Cheers,
Lars",ilarsf,https://github.com/statgen/savvy/issues/6
MDU6SXNzdWU0MDQzOTQ4NTk=,Export multiple FORMAT fields to VCF,CLOSED,2019-01-29T17:08:41Z,2021-01-24T21:19:10Z,2021-01-24T21:19:10Z,,jonathonl,https://github.com/statgen/savvy/issues/7
MDU6SXNzdWU0MTQyNzE4MDU=,error: 'isnan' is not a member of 'std',CLOSED,2019-02-25T19:38:13Z,2019-02-25T23:39:33Z,2019-02-25T23:38:45Z,"I can compile savvy@develop on my Mac with no issues, but on our Ubuntu box with gcc 5.4 it fails with: 

```
In file included from /home/welchr/scratch/savvy/src/savvy/site_info.cpp:7:0:
/home/welchr/scratch/savvy/include/savvy/site_info.hpp: In function 'void savvy::update_info_fields(savvy::site_info&, const T&, savvy::fmt)':
/home/welchr/scratch/savvy/include/savvy/site_info.hpp:192:11: error: 'isnan' is not a member of 'std'
       if (std::isnan(*it))
```

If I add `#include <cmath>` to that header file, then it compiles successfully. Maybe it's included by default on Mac for some reason. ",welchr,https://github.com/statgen/savvy/issues/8
MDU6SXNzdWU1ODc5NTU4Nzc=,SAIGE installs fail because statgen/savvy can't be accessed (Centos 6.x),OPEN,2020-03-25T20:02:00Z,2021-03-11T22:11:46Z,,"They fail the same way:

Downloading https://github.com/statgen/savvy/archive/<long_id>.tar.gz
""Download failed with error 400""

At the core, this command fails:
cget install statgen/savvy@<long_id>

Did you make some change which broke downstream installs using cget?
Is there anything that you can publish that users should follow instead of that URL?
You have some re-direct scheme in place. Is there another destination that people should use instead of the above? Also, how were users supposed to reach this through a proxy? No system config for proxy is honored during these attempts.

Thanks for any leads.
",jbsysadmin,https://github.com/statgen/savvy/issues/9
MDU6SXNzdWU3Mzc1OTE2NDk=,conda package,CLOSED,2020-11-06T09:01:50Z,2021-03-31T17:48:50Z,2021-03-31T17:48:50Z,"Hi @jonathonl 

I created a conda package of savvy https://anaconda.org/bioconda/savvy

are you interested in adding some documentation about it in readme?
For example mention installation:
```
conda install -c bioconda savvy
```

and maybe add some fancy badge? [![Savvy](https://anaconda.org/bioconda/savvy/badges/installer/conda.svg)](https://anaconda.org/bioconda/savvy)
```
[![Savvy](https://anaconda.org/bioconda/savvy/badges/installer/conda.svg)](https://anaconda.org/bioconda/savvy)
```
",matuskosut,https://github.com/statgen/savvy/issues/10
MDU6SXNzdWU4MzY0MTczNDY=,Understanding sav benefits.,OPEN,2021-03-19T22:24:11Z,2021-03-24T20:23:49Z,,"I'm trying to catch up on what's been going on in the world of alternat vcf representations and I'm trying to understand what the benefits of savvy are vs bcf.  I've run into a few questions.

1.  It seems like the big difference is the addition of a sparse vector type.  The random vcf files I've tried *savving* haven't seen any appreciable size improvement from running `sav import` on them though so I was wondering if you had some examples of files that benefited from using savvy.     I suspect I'm either using files that don't particularly benefit from the sparsity reduction, or I've misconfigured my import.

2. I don't understand how PBWT is used by sav files and what benefit that gives.  Does it only apply to genotype fields?  I tried looking in the code, but I couldn't find where it actually computes PBWT.  It seems like it's just tagging fields as being PBWT sorted?  Is this passing through something processed upstream and just acting as a marker for it?  How is this intended to be used? I'm not really a C++ programmer so I may have just missed something obvious.

3. From what I can tell sav doesn't directly address the problem of encoding gvcf files efficiently.  (Although they could probably benefit from the sparse vector type when encoding sparse PLs.).  Is that outside of the mandate of the sav format? 

Thank you.   Let me know if there's a better forum for asking general non-code questions about savvy.",lbergelson,https://github.com/statgen/savvy/issues/11
