id,tag_name,name,created_at,published_at,author_login,author_name
RE_kwDODfqZfM4FA3MD,v3.18.7,v3.18.7,2022-11-24T15:17:32Z,2022-11-24T15:17:51Z,github-actions[bot],
RE_kwDODfqZfM4E8-O4,v3.18.6,v3.18.6,2022-11-15T07:56:06Z,2022-11-15T07:56:23Z,github-actions[bot],
RE_kwDODfqZfM4E8lXY,v3.18.5,v3.18.5,2022-11-14T14:05:27Z,2022-11-14T14:05:51Z,github-actions[bot],
RE_kwDODfqZfM4E70nM,v3.18.4,v3.18.4,2022-11-11T12:32:50Z,2022-11-11T12:33:13Z,github-actions[bot],
RE_kwDODfqZfM4E7qFX,v3.18.3,v3.18.3,2022-11-11T00:13:40Z,2022-11-11T00:14:00Z,github-actions[bot],
RE_kwDODfqZfM4E0iz4,v3.18.2,v3.18.2,2022-10-25T06:59:21Z,2022-10-25T06:59:44Z,github-actions[bot],
RE_kwDODfqZfM4ErIa0,v3.18.1,v3.18.1,2022-09-28T08:54:02Z,2022-09-28T08:54:26Z,github-actions[bot],
RE_kwDODfqZfM4ErIAv,v3.18.0,v3.18.0,2022-09-28T08:39:08Z,2022-09-28T08:39:29Z,github-actions[bot],
RE_kwDODfqZfM4Eqt5O,v3.17.1,v3.17.1,2022-09-27T14:46:56Z,2022-09-27T14:47:20Z,github-actions[bot],
RE_kwDODfqZfM4Epnt2,v3.17.0,v3.17.0,2022-09-23T19:45:14Z,2022-09-23T19:45:39Z,github-actions[bot],
RE_kwDODfqZfM4Eh8oU,v3.16.0,v3.16.0,2022-09-01T10:36:52Z,2022-09-01T10:37:09Z,github-actions[bot],
RE_kwDODfqZfM4EZvea,v3.15.0,v3.15.0,2022-08-08T06:20:09Z,2022-08-08T06:20:34Z,github-actions[bot],
RE_kwDODfqZfM4EVhUz,v3.14.1,v3.14.1,2022-07-25T12:28:52Z,2022-07-25T12:29:17Z,github-actions[bot],
RE_kwDODfqZfM4EBF-8,v3.14.0,v3.14.0,2022-05-20T14:46:00Z,2022-05-20T14:46:31Z,github-actions[bot],
