id,tag_name,name,created_at,published_at,author_login,author_name
MDc6UmVsZWFzZTUzNTA0MzU=,v1.3,somatypus-1.3,2017-02-03T10:45:27Z,2017-02-03T10:47:27Z,baezortega,Adrian Baez-Ortega
MDc6UmVsZWFzZTQxOTU3MzA=,v1.2.1,somatypus-1.2.1,2016-09-21T18:23:13Z,2016-09-21T18:29:47Z,baezortega,Adrian Baez-Ortega
MDc6UmVsZWFzZTM1ODcwMzY=,v1.2,somatypus-1.2,2016-06-04T20:05:23Z,2016-07-05T09:27:38Z,baezortega,Adrian Baez-Ortega
MDc6UmVsZWFzZTMwMjcwNzc=,v1.1,somatypus-1.1,2016-04-15T10:52:36Z,2016-04-15T10:59:12Z,baezortega,Adrian Baez-Ortega
MDc6UmVsZWFzZTI1OTEwNjA=,v1.0,somatypus-1.0,2016-02-11T00:16:09Z,2016-02-11T00:20:22Z,baezortega,Adrian Baez-Ortega
