id,tag_name,name,created_at,published_at,author_login,author_name
RE_kwDOA7ytOM4DBgCl,v4.4.3,varlociraptor v4.4.3,2021-10-04T08:47:40Z,2021-10-04T08:47:58Z,github-actions[bot],
RE_kwDOA7ytOM4C87FZ,v4.4.2,varlociraptor v4.4.2,2021-09-14T12:39:34Z,2021-09-14T12:39:53Z,github-actions[bot],
RE_kwDOA7ytOM4C8RNh,v4.4.1,varlociraptor v4.4.1,2021-09-10T14:48:39Z,2021-09-10T14:48:57Z,github-actions[bot],
MDc6UmVsZWFzZTQ5MDg5MDA1,v4.4.0,varlociraptor v4.4.0,2021-09-06T19:24:01Z,2021-09-06T19:24:16Z,github-actions[bot],
MDc6UmVsZWFzZTQ4OTEwNzAz,v4.3.0,varlociraptor v4.3.0,2021-09-02T17:29:32Z,2021-09-02T17:29:48Z,github-actions[bot],
MDc6UmVsZWFzZTQ4Njc0NDY2,v4.2.0,varlociraptor v4.2.0,2021-08-30T13:32:02Z,2021-08-30T13:32:19Z,github-actions[bot],
MDc6UmVsZWFzZTQ3ODE3OTE1,v4.1.3,varlociraptor v4.1.3,2021-08-13T14:55:01Z,2021-08-13T14:55:19Z,github-actions[bot],
MDc6UmVsZWFzZTQ3NjE0NDY3,v4.1.2,varlociraptor v4.1.2,2021-08-10T15:19:59Z,2021-08-10T15:20:24Z,github-actions[bot],
MDc6UmVsZWFzZTQ2NTk3NTcz,v4.1.1,varlociraptor v4.1.1,2021-07-22T11:19:47Z,2021-07-22T11:20:05Z,github-actions[bot],
MDc6UmVsZWFzZTQ1OTczNTI5,v4.1.0,varlociraptor v4.1.0,2021-07-09T14:49:31Z,2021-07-09T14:49:54Z,github-actions[bot],
MDc6UmVsZWFzZTQ1ODMxNzU2,v4.0.1,varlociraptor v4.0.1,2021-07-07T11:04:32Z,2021-07-07T11:04:51Z,github-actions[bot],
MDc6UmVsZWFzZTQ1ODIzNzgz,v4.0.0,varlociraptor v4.0.0,2021-07-07T08:47:12Z,2021-07-07T08:47:29Z,github-actions[bot],
MDc6UmVsZWFzZTQ1NjEzMDU2,v3.5.0,Version 3.5.0,2021-07-02T09:49:02Z,2021-07-02T10:03:00Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTQzNTMyNjQ2,v3.4.0,Version 3.4.0,2021-05-25T14:52:53Z,2021-05-25T14:53:40Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTQzNDEzNzQy,v3.3.1,Version 3.3.1,2021-05-22T17:37:09Z,2021-05-22T17:38:10Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTQzMzA4NDA0,v3.3.0,Version 3.3.0,2021-05-20T18:36:26Z,2021-05-20T18:40:45Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTQzMTIzNTIy,v3.2.0,Version 3.2.0,2021-05-18T10:40:54Z,2021-05-18T10:46:28Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTQyNDEwODc4,v3.1.0,Version 3.1.0,2021-05-04T12:07:48Z,2021-05-04T12:09:32Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTQyNDEwNDAx,v3.0.1,Version 3.0.1,2021-04-22T12:37:49Z,2021-05-04T12:00:17Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTQxMjg0NDQ2,v3.0.0,Version 3.0.0,2021-04-12T14:24:48Z,2021-04-12T14:39:25Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTQwMDY1NTM4,v2.6.5,Version 2.6.5,2021-03-19T13:48:51Z,2021-03-19T13:50:03Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTQwMDY1NTUw,v2.6.4,Version 2.6.4,2021-03-19T09:55:25Z,2021-03-19T13:50:22Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTQwMDQ2MjYw,v2.6.3,Version 2.6.3,2021-03-19T06:11:40Z,2021-03-19T06:23:16Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTQwMDI3MzAy,v2.6.2,Version 2.6.2,2021-03-18T19:35:11Z,2021-03-18T19:35:39Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTM3ODg0MTgw,v2.6.1,Version 2.6.1,2021-02-10T20:13:04Z,2021-02-10T20:19:13Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTM2Njg0NDY4,v2.6.0,Version 2.6.0,2021-01-20T22:09:31Z,2021-01-20T22:59:18Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTM1OTgyNzk5,v2.5.4,Version 2.5.4,2021-01-04T20:32:43Z,2021-01-05T07:26:38Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTM0MzE0OTk5,v2.5.3,,2020-11-23T15:03:10Z,2020-11-23T15:12:48Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTM0MjM2MDk1,v2.5.2,Version 2.5.2,2020-11-20T09:22:24Z,2020-11-20T16:02:34Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTM0MDQ4ODk5,v2.5.1,Version 2.5.1,2020-11-17T10:02:13Z,2020-11-17T10:14:20Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTMzODAxNzA1,v2.5.0,Version 2.5.0,2020-11-11T12:44:27Z,2020-11-11T13:05:44Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTMzNTA4ODQx,v2.4.0,Version 2.4.0,2020-11-05T15:13:22Z,2020-11-05T15:19:19Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTMzNTA3ODQ3,v2.3.0,,2020-09-09T12:35:13Z,2020-11-05T15:03:54Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTMwMDczMzY5,v2.2.1,Version 2.2.1,2020-08-24T21:28:21Z,2020-08-24T21:29:12Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTMwMDczMzYx,v2.2.0,Version 2.2.0,2020-08-24T10:28:37Z,2020-08-24T21:28:55Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTI5NTU2MzUz,v2.1.0,Version 2.1.0,2020-08-11T12:18:43Z,2020-08-11T12:19:41Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTI5NDAzNzQ3,v2.0.1,Version 2.0.1,2020-08-06T11:33:38Z,2020-08-06T11:34:32Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTI4MzkyNjQy,v2.0.0,Version 2.0.0,2020-07-09T08:05:48Z,2020-07-09T09:08:01Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTI3NjI3Mzk2,v1.8.0,Version 1.8.0,2020-06-17T07:31:59Z,2020-06-17T07:32:54Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTI3MTc5NzQy,v1.7.2,Version 1.7.2,2020-06-03T13:47:26Z,2020-06-03T13:48:18Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTI3MTMyNDI2,v1.7.1,Version 1.7.1,2020-06-02T11:34:48Z,2020-06-02T11:36:08Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTI2OTUyMTk0,v1.7.0,Version 1.7.0,2020-05-27T15:43:41Z,2020-05-27T15:44:41Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTI0NjI1MDU2,v1.6.4,Version 1.6.4,2020-03-18T08:44:07Z,2020-03-18T08:59:58Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTI0NjEyNzA0,v1.6.3,Version 1.6.3,2020-03-17T21:39:51Z,2020-03-17T21:43:22Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTI0NjA5MjM3,v1.6.2,Version 1.6.2,2020-03-17T19:45:04Z,2020-03-17T19:46:04Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTI0MzI4ODE4,v1.6.1,Version 1.6.1,2020-03-08T19:23:18Z,2020-03-08T19:35:22Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTIzOTY4OTAz,v1.6.0,Version 1.6.0,2019-12-10T11:05:48Z,2020-02-25T15:02:23Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTIwMzY0NzE1,v1.2.1,Version 1.2.1 of Varlociraptor,2019-09-30T20:03:44Z,2019-09-30T20:10:03Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTIwMzIwNTY3,v1.2.0,Version 1.2.0 of Varlociraptor,2019-09-27T20:17:28Z,2019-09-27T21:42:53Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTE3MzA5MTE4,varlociraptor-1.0.0,version 1.0.0 of varlociraptor,2019-05-09T19:09:00Z,2019-05-13T09:33:47Z,dlaehnemann,David Laehnemann
MDc6UmVsZWFzZTE1NjE5ODc0,v0.8.0,Version 0.8.0 of libprosic,2019-02-14T15:39:35Z,2019-02-18T13:12:28Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTEzODU2NzY5,0.7.0,Version 0.7.0 of libprosic,2018-11-06T15:49:17Z,2018-11-06T16:00:58Z,dlaehnemann,David Laehnemann
MDc6UmVsZWFzZTkyMTIyOTg=,v0.6.0,Version 0.6.0 of libprosic,2018-01-12T13:20:06Z,2018-01-12T13:28:00Z,dlaehnemann,David Laehnemann
MDc6UmVsZWFzZTg1NTcyNzg=,v0.5.0,Version 0.5.0 of libprosic,2017-11-17T08:05:56Z,2017-11-17T08:11:00Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTY5NTc4MTc=,v0.4.0,Version 0.4.0 of libprosic,2017-07-06T21:13:23Z,2017-07-06T21:30:17Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTYyNzY0Nzk=,v0.3.0,Version 0.3.0 of libprosic,2017-05-04T09:35:25Z,2017-05-04T09:46:50Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTU4OTI0MTQ=,v0.2.0,Version 0.2.0 of libprosic,2017-03-28T10:53:49Z,2017-03-28T11:00:22Z,johanneskoester,Johannes Köster
MDc6UmVsZWFzZTQ1NDI3NTM=,v0.1.0,Version 0.1.0 of libprosic,2016-11-02T00:00:50Z,2016-11-02T00:01:43Z,johanneskoester,Johannes Köster
