id,tag_name,name,created_at,published_at,author_login,author_name
RE_kwDOGZriIM4FAUx1,v1.1.0,,2022-11-23T07:43:14Z,2022-11-23T10:08:57Z,vladimirsouza,
RE_kwDOGZriIM4DltRY,v1.0.0,v1.0.0,2022-02-21T20:23:58Z,2022-02-23T11:15:33Z,vladimirsouza,
RE_kwDOGZriIM4DhL1u,v0.1.0,Initial release,2022-02-08T15:44:33Z,2022-02-08T16:27:07Z,vladimirsouza,
