pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url
MDExOlB1bGxSZXF1ZXN0Mjg5OTIwMDEx,Create LICENSE,MERGED,2019-06-20T00:07:02Z,2019-06-20T00:07:18Z,2019-06-20T00:07:12Z,2019-06-20T00:07:12Z,oaxiom,https://github.com/oaxiom/glbase3/pull/1
MDExOlB1bGxSZXF1ZXN0NTk2NzA2MzYy,Bump pillow from 7.2.0 to 8.1.1,CLOSED,2021-03-19T16:07:19Z,2021-04-13T04:38:53Z,2021-04-13T04:38:52Z,,dependabot,https://github.com/oaxiom/glbase3/pull/4
MDExOlB1bGxSZXF1ZXN0NTk3MjIxNjQ5,Bump jinja2 from 2.11.2 to 2.11.3,CLOSED,2021-03-20T05:48:10Z,2021-04-13T04:38:39Z,2021-04-13T04:38:38Z,,dependabot,https://github.com/oaxiom/glbase3/pull/5
MDExOlB1bGxSZXF1ZXN0NjAxMjI0NzM2,Bump pyyaml from 5.3.1 to 5.4,CLOSED,2021-03-26T00:50:12Z,2021-04-13T04:38:46Z,2021-04-13T04:38:45Z,,dependabot,https://github.com/oaxiom/glbase3/pull/6
MDExOlB1bGxSZXF1ZXN0NjUwNTI4NjY4,Sourcery refactored master branch,MERGED,2021-05-22T00:26:47Z,2021-05-22T00:40:40Z,2021-05-22T00:40:32Z,2021-05-22T00:40:32Z,sourcery-ai,https://github.com/oaxiom/glbase3/pull/7
PR_kwDOB3-dVM46Fd-_,Bump numpy from 1.19.2 to 1.22.0,MERGED,2022-06-22T04:11:50Z,2022-07-04T07:55:56Z,2022-07-04T07:55:47Z,2022-07-04T07:55:47Z,dependabot,https://github.com/oaxiom/glbase3/pull/8
PR_kwDOB3-dVM4_9oRz,Bump joblib from 0.17.0 to 1.2.0,CLOSED,2022-09-30T19:31:56Z,2022-10-20T09:26:01Z,2022-10-20T09:26:00Z,,dependabot,https://github.com/oaxiom/glbase3/pull/9
PR_kwDOB3-dVM5U2pyl,Bump scipy from 1.5.2 to 1.10.0,CLOSED,2023-07-06T22:16:28Z,2024-10-24T01:24:47Z,2024-10-24T01:24:39Z,,dependabot,https://github.com/oaxiom/glbase3/pull/10
