pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url
MDExOlB1bGxSZXF1ZXN0NDQxODk4ODE1,Align Biosciences and Exeter samples,MERGED,2020-06-30T09:23:52Z,2020-06-30T09:24:10Z,2020-06-30T09:24:10Z,2020-06-30T09:24:10Z,Aisha-D,https://github.com/ejh243/BrainFANS/pull/1
MDExOlB1bGxSZXF1ZXN0NDU2MjAwMTA3,Analysis & pipeline for sorted samples and for combined datasets,MERGED,2020-07-24T10:10:51Z,2022-02-09T16:00:00Z,2020-07-24T10:11:02Z,2020-07-24T10:11:02Z,Aisha-D,https://github.com/ejh243/BrainFANS/pull/2
PR_kwDOCxwUgs4yQ0iM,subset out sex chromosomes from bam files,MERGED,2022-02-08T21:45:34Z,2022-02-08T21:45:46Z,2022-02-08T21:45:46Z,2022-02-08T21:45:46Z,ejh243,https://github.com/ejh243/BrainFANS/pull/3
PR_kwDOCxwUgs5k2u6V,Templates,MERGED,2024-01-23T16:08:04Z,2024-01-23T16:08:39Z,2024-01-23T16:08:36Z,2024-01-23T16:08:36Z,sof202,https://github.com/ejh243/BrainFANS/pull/13
PR_kwDOCxwUgs5k3WS4,Development pipeline,MERGED,2024-01-23T17:29:34Z,2024-01-23T17:30:13Z,2024-01-23T17:30:09Z,2024-01-23T17:30:09Z,sof202,https://github.com/ejh243/BrainFANS/pull/16
PR_kwDOCxwUgs5k8DEN,Improvements to the development pipeline documentation,MERGED,2024-01-24T10:54:14Z,2024-01-24T10:54:48Z,2024-01-24T10:54:45Z,2024-01-24T10:54:45Z,sof202,https://github.com/ejh243/BrainFANS/pull/19
PR_kwDOCxwUgs5llljK,Building out documentation,MERGED,2024-01-31T15:44:40Z,2024-03-15T12:49:55Z,2024-02-16T15:28:17Z,2024-02-16T15:28:17Z,ejh243,https://github.com/ejh243/BrainFANS/pull/26
PR_kwDOCxwUgs5luYym,Website overhaul and update to contributions guide,MERGED,2024-02-01T16:45:09Z,2024-02-02T15:04:24Z,2024-02-01T16:47:51Z,2024-02-01T16:47:51Z,sof202,https://github.com/ejh243/BrainFANS/pull/27
PR_kwDOCxwUgs5mBoif,Add web development guide,MERGED,2024-02-05T13:38:34Z,2024-02-12T11:06:53Z,2024-02-05T13:44:27Z,2024-02-05T13:44:26Z,sof202,https://github.com/ejh243/BrainFANS/pull/29
PR_kwDOCxwUgs5mIwxk,Add a demo for mermaid,MERGED,2024-02-06T12:28:24Z,2024-02-06T12:31:22Z,2024-02-06T12:30:56Z,2024-02-06T12:30:56Z,sof202,https://github.com/ejh243/BrainFANS/pull/30
PR_kwDOCxwUgs5mIxav,update calcQCmetrics.r to work with both epicV1 and epicV2 data,MERGED,2024-02-06T12:30:06Z,2024-04-29T14:05:15Z,2024-04-29T14:05:15Z,2024-04-29T14:05:15Z,ew367,https://github.com/ejh243/BrainFANS/pull/31
PR_kwDOCxwUgs5mP-ns,Initial deployment of website,MERGED,2024-02-07T11:20:04Z,2024-02-16T15:21:46Z,2024-02-16T15:21:17Z,2024-02-16T15:21:17Z,sof202,https://github.com/ejh243/BrainFANS/pull/35
PR_kwDOCxwUgs5mWudD,Tom's revisions,MERGED,2024-02-08T10:07:05Z,2024-02-08T10:07:45Z,2024-02-08T10:07:42Z,2024-02-08T10:07:42Z,sof202,https://github.com/ejh243/BrainFANS/pull/36
PR_kwDOCxwUgs5nZ-UM,Add redirect button to q&a section on issues pages,MERGED,2024-02-20T14:57:46Z,2024-02-21T10:12:13Z,2024-02-21T10:12:11Z,2024-02-21T10:12:11Z,sof202,https://github.com/ejh243/BrainFANS/pull/41
PR_kwDOCxwUgs5oT-IB,LDSC improvements,MERGED,2024-02-29T15:59:45Z,2024-05-09T13:09:11Z,2024-05-09T13:09:08Z,2024-05-09T13:09:08Z,sof202,https://github.com/ejh243/BrainFANS/pull/54
PR_kwDOCxwUgs5obILs,Code review upgrade,MERGED,2024-03-01T15:46:09Z,2024-03-08T14:17:47Z,2024-03-08T14:17:37Z,2024-03-08T14:17:37Z,sof202,https://github.com/ejh243/BrainFANS/pull/56
PR_kwDOCxwUgs5ol7o3,Merge conflict section,MERGED,2024-03-04T13:47:55Z,2024-03-08T15:46:29Z,2024-03-08T15:46:22Z,2024-03-08T15:46:22Z,sof202,https://github.com/ejh243/BrainFANS/pull/59
PR_kwDOCxwUgs5o1Zhb,add section before publishing branch telling developer to merge first,MERGED,2024-03-06T12:36:40Z,2024-03-07T14:34:35Z,2024-03-06T12:36:59Z,2024-03-06T12:36:59Z,sof202,https://github.com/ejh243/BrainFANS/pull/62
