pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url
PR_kwDOHW9jw84-oDI8,Update RNApipe.sh,MERGED,2022-09-08T18:31:01Z,2022-09-12T18:48:19Z,2022-09-12T18:48:19Z,2022-09-12T18:48:19Z,jpflores-13,https://github.com/ksmetz/bagPipes/pull/1
PR_kwDOHW9jw84-zU8X,Update trim_galore version,MERGED,2022-09-12T17:02:12Z,2022-09-12T18:49:08Z,2022-09-12T18:49:08Z,2022-09-12T18:49:08Z,EricSDavis,https://github.com/ksmetz/bagPipes/pull/2
PR_kwDOHW9jw84-0zAi,Update RNAconfig.yaml,CLOSED,2022-09-13T00:24:39Z,2023-01-19T17:59:40Z,2023-01-19T17:59:39Z,,jpflores-13,https://github.com/ksmetz/bagPipes/pull/3
PR_kwDOHW9jw84-5JdO,Update ATATconfig.yaml trimVers,MERGED,2022-09-13T20:45:12Z,2023-01-19T17:59:51Z,2023-01-19T17:59:51Z,2023-01-19T17:59:50Z,nekramer,https://github.com/ksmetz/bagPipes/pull/4
PR_kwDOHW9jw84-5yUS,Update cluster.yaml,MERGED,2022-09-14T01:01:40Z,2023-01-19T18:00:04Z,2023-01-19T18:00:04Z,2023-01-19T18:00:04Z,jpflores-13,https://github.com/ksmetz/bagPipes/pull/5
PR_kwDOHW9jw84-5yV6,Update RNAconfig.yaml,MERGED,2022-09-14T01:01:52Z,2023-01-19T18:00:16Z,2023-01-19T18:00:16Z,2023-01-19T18:00:16Z,jpflores-13,https://github.com/ksmetz/bagPipes/pull/6
PR_kwDOHW9jw85HM4oV,Update ChIPconfig.yaml,MERGED,2023-01-11T23:30:52Z,2023-01-19T18:00:27Z,2023-01-19T18:00:27Z,2023-01-19T18:00:27Z,jpflores-13,https://github.com/ksmetz/bagPipes/pull/7
PR_kwDOHW9jw85R8NLI,Update versions of software across pipelines and amend single-end ChIP/CUT&RUN pipeline,MERGED,2023-06-01T20:29:04Z,2023-06-02T16:14:56Z,2023-06-02T16:14:47Z,2023-06-02T16:14:47Z,jpflores-13,https://github.com/ksmetz/bagPipes/pull/8
PR_kwDOHW9jw85UEUQz,Update ChIPpipeLauncher.snakefile,MERGED,2023-06-27T18:44:56Z,2023-06-27T19:46:26Z,2023-06-27T19:46:19Z,2023-06-27T19:46:19Z,jpflores-13,https://github.com/ksmetz/bagPipes/pull/9
PR_kwDOHW9jw85UKR7K,Update ChIPpipeLauncher.snakefile,OPEN,2023-06-28T16:32:19Z,2024-11-23T17:12:16Z,,,jpflores-13,https://github.com/ksmetz/bagPipes/pull/10
