pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url
MDExOlB1bGxSZXF1ZXN0MzY5NzY5ODQ1,updated README,MERGED,2020-01-31T21:02:47Z,2020-01-31T21:02:59Z,2020-01-31T21:02:59Z,2020-01-31T21:02:59Z,giuliacorbet,https://github.com/arda3929/bchm5631/pull/1
MDExOlB1bGxSZXF1ZXN0MzY5Nzc1NDEy,update savannah branch,MERGED,2020-01-31T21:19:36Z,2020-01-31T21:20:51Z,2020-01-31T21:20:51Z,2020-01-31T21:20:51Z,sprasava,https://github.com/arda3929/bchm5631/pull/2
