pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url
PR_kwDOJcuoKc5QcqIq,Phase 2,MERGED,2023-05-14T03:33:30Z,2023-05-14T03:34:06Z,2023-05-14T03:34:06Z,2023-05-14T03:34:06Z,JasonJiangs,https://github.com/JasonJiangs/RNAseq-ChIPseq-Joint-Pipeline/pull/1
PR_kwDOJcuoKc5QdlCR,update misc,MERGED,2023-05-14T23:26:19Z,2023-05-14T23:26:37Z,2023-05-14T23:26:36Z,2023-05-14T23:26:36Z,JasonJiangs,https://github.com/JasonJiangs/RNAseq-ChIPseq-Joint-Pipeline/pull/2
PR_kwDOJcuoKc5TBp_Y,merge phase2,MERGED,2023-06-14T19:12:32Z,2023-06-14T19:13:06Z,2023-06-14T19:13:06Z,2023-06-14T19:13:06Z,JasonJiangs,https://github.com/JasonJiangs/RNAseq-ChIPseq-Joint-Pipeline/pull/3
