fork_id,fork_name,fork_full_name,fork_owner,fork_url,fork_created_at,fork_updated_at
MDEwOlJlcG9zaXRvcnkzOTk0NDczOTQ=,WholeGenomeAssembly,penillejensen/WholeGenomeAssembly,penillejensen,https://github.com/penillejensen/WholeGenomeAssembly,2021-08-24T11:56:47Z,2021-08-24T11:56:48Z
MDEwOlJlcG9zaXRvcnkzOTk0NTI3Mzc=,WholeGenomeAssembly,liguangshuo/WholeGenomeAssembly,liguangshuo,https://github.com/liguangshuo/WholeGenomeAssembly,2021-08-24T12:14:46Z,2021-08-24T12:14:47Z
R_kgDOH4CUCw,WholeGenomeAssembly,gilmahu/WholeGenomeAssembly,gilmahu,https://github.com/gilmahu/WholeGenomeAssembly,2022-08-24T17:10:32Z,2022-08-23T12:02:46Z
