id,title,state,created_at,updated_at,closed_at,body,user,url
MDU6SXNzdWUzMjExOTg1MDU=,row -> raw,CLOSED,2018-05-08T13:58:52Z,2018-10-08T13:13:58Z,2018-10-08T13:13:58Z,,mapawlak,https://github.com/mcjmigdal/RNA-seq_data_analysis_course_for_biologists_may_2018/issues/1
MDU6SXNzdWUzMjUzNDM3MzE=,Push the final version of the repo,CLOSED,2018-05-22T15:20:21Z,2018-10-08T13:12:48Z,2018-10-08T13:12:48Z,,mcjmigdal,https://github.com/mcjmigdal/RNA-seq_data_analysis_course_for_biologists_may_2018/issues/3
MDU6SXNzdWUzMjUzNDM4Njk=,Edit README file,CLOSED,2018-05-22T15:20:38Z,2018-10-08T13:13:08Z,2018-10-08T13:13:08Z,,mcjmigdal,https://github.com/mcjmigdal/RNA-seq_data_analysis_course_for_biologists_may_2018/issues/4
