pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url
PR_kwDOIPgyXs5Il8zy,Edited file names,MERGED,2023-01-26T13:55:41Z,2023-01-26T13:56:02Z,2023-01-26T13:56:02Z,2023-01-26T13:56:02Z,fredrickkebaso,https://github.com/fredrickkebaso/Hippobosca_Genome_Assembly_And_Annotation/pull/1
PR_kwDOIPgyXs5I6dmh,Added protein extraction escript,MERGED,2023-01-31T13:24:16Z,2023-01-31T13:24:28Z,2023-01-31T13:24:27Z,2023-01-31T13:24:27Z,fredrickkebaso,https://github.com/fredrickkebaso/Hippobosca_Genome_Assembly_And_Annotation/pull/2
PR_kwDOIPgyXs5I-vpU,Added updated workflow diagrams,MERGED,2023-02-01T07:24:09Z,2023-02-01T07:24:46Z,2023-02-01T07:24:46Z,2023-02-01T07:24:46Z,fredrickkebaso,https://github.com/fredrickkebaso/Hippobosca_Genome_Assembly_And_Annotation/pull/3
PR_kwDOIPgyXs5K8X90,Added analysis scruipts,MERGED,2023-02-28T15:36:31Z,2023-02-28T15:36:47Z,2023-02-28T15:36:47Z,2023-02-28T15:36:46Z,fredrickkebaso,https://github.com/fredrickkebaso/Hippobosca_Genome_Assembly_And_Annotation/pull/4
PR_kwDOIPgyXs5K_oTL,Blast edits,MERGED,2023-03-01T05:19:43Z,2023-03-01T05:20:35Z,2023-03-01T05:20:35Z,2023-03-01T05:20:35Z,fredrickkebaso,https://github.com/fredrickkebaso/Hippobosca_Genome_Assembly_And_Annotation/pull/5
PR_kwDOIPgyXs5LAasr,Blast edits,MERGED,2023-03-01T08:21:24Z,2023-03-01T08:21:37Z,2023-03-01T08:21:37Z,2023-03-01T08:21:37Z,fredrickkebaso,https://github.com/fredrickkebaso/Hippobosca_Genome_Assembly_And_Annotation/pull/6
PR_kwDOIPgyXs5LGuT2,Updated scripts,CLOSED,2023-03-02T08:48:14Z,2023-03-02T09:08:38Z,2023-03-02T09:08:37Z,,fredrickkebaso,https://github.com/fredrickkebaso/Hippobosca_Genome_Assembly_And_Annotation/pull/7
PR_kwDOIPgyXs5LG_z_,updated hecamelina scripts,MERGED,2023-03-02T09:23:00Z,2023-03-02T09:23:29Z,2023-03-02T09:23:29Z,2023-03-02T09:23:29Z,fredrickkebaso,https://github.com/fredrickkebaso/Hippobosca_Genome_Assembly_And_Annotation/pull/8
PR_kwDOIPgyXs5LHdnG,Added hlongipennis scripts,MERGED,2023-03-02T10:51:14Z,2023-03-02T10:51:26Z,2023-03-02T10:51:26Z,2023-03-02T10:51:26Z,fredrickkebaso,https://github.com/fredrickkebaso/Hippobosca_Genome_Assembly_And_Annotation/pull/9
PR_kwDOIPgyXs5LN_p9,Edited hvariegata scripts,MERGED,2023-03-03T11:52:17Z,2023-03-03T11:52:27Z,2023-03-03T11:52:27Z,2023-03-03T11:52:27Z,fredrickkebaso,https://github.com/fredrickkebaso/Hippobosca_Genome_Assembly_And_Annotation/pull/10
PR_kwDOIPgyXs5o86r6,License,MERGED,2024-03-07T11:05:04Z,2024-03-07T11:06:16Z,2024-03-07T11:06:16Z,2024-03-07T11:06:16Z,fredrickkebaso,https://github.com/fredrickkebaso/Hippobosca_Genome_Assembly_And_Annotation/pull/11
PR_kwDOIPgyXs6AfAFz,Update README.md,MERGED,2024-10-31T06:32:58Z,2024-10-31T06:33:15Z,2024-10-31T06:33:15Z,2024-10-31T06:33:15Z,fredrickkebaso,https://github.com/fredrickkebaso/Hippobosca_Genome_Assembly_And_Annotation/pull/12
