repo_owner,repo_name,contributor_login,contributions,login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,user_view_type,site_admin,contributions
nf-core,sarek,apeltzer,55,apeltzer,2359510,MDQ6VXNlcjIzNTk1MTA=,https://avatars.githubusercontent.com/u/2359510?v=4,,https://api.github.com/users/apeltzer,https://github.com/apeltzer,https://api.github.com/users/apeltzer/followers,https://api.github.com/users/apeltzer/following{/other_user},https://api.github.com/users/apeltzer/gists{/gist_id},https://api.github.com/users/apeltzer/starred{/owner}{/repo},https://api.github.com/users/apeltzer/subscriptions,https://api.github.com/users/apeltzer/orgs,https://api.github.com/users/apeltzer/repos,https://api.github.com/users/apeltzer/events{/privacy},https://api.github.com/users/apeltzer/received_events,User,public,False,55
nf-core,sarek,nickhsmith,49,nickhsmith,7143411,MDQ6VXNlcjcxNDM0MTE=,https://avatars.githubusercontent.com/u/7143411?v=4,,https://api.github.com/users/nickhsmith,https://github.com/nickhsmith,https://api.github.com/users/nickhsmith/followers,https://api.github.com/users/nickhsmith/following{/other_user},https://api.github.com/users/nickhsmith/gists{/gist_id},https://api.github.com/users/nickhsmith/starred{/owner}{/repo},https://api.github.com/users/nickhsmith/subscriptions,https://api.github.com/users/nickhsmith/orgs,https://api.github.com/users/nickhsmith/repos,https://api.github.com/users/nickhsmith/events{/privacy},https://api.github.com/users/nickhsmith/received_events,User,public,False,49
nf-core,sarek,jfnavarro,49,jfnavarro,586316,MDQ6VXNlcjU4NjMxNg==,https://avatars.githubusercontent.com/u/586316?v=4,,https://api.github.com/users/jfnavarro,https://github.com/jfnavarro,https://api.github.com/users/jfnavarro/followers,https://api.github.com/users/jfnavarro/following{/other_user},https://api.github.com/users/jfnavarro/gists{/gist_id},https://api.github.com/users/jfnavarro/starred{/owner}{/repo},https://api.github.com/users/jfnavarro/subscriptions,https://api.github.com/users/jfnavarro/orgs,https://api.github.com/users/jfnavarro/repos,https://api.github.com/users/jfnavarro/events{/privacy},https://api.github.com/users/jfnavarro/received_events,User,public,False,49
nf-core,sarek,edmundmiller,42,edmundmiller,20095261,MDQ6VXNlcjIwMDk1MjYx,https://avatars.githubusercontent.com/u/20095261?v=4,,https://api.github.com/users/edmundmiller,https://github.com/edmundmiller,https://api.github.com/users/edmundmiller/followers,https://api.github.com/users/edmundmiller/following{/other_user},https://api.github.com/users/edmundmiller/gists{/gist_id},https://api.github.com/users/edmundmiller/starred{/owner}{/repo},https://api.github.com/users/edmundmiller/subscriptions,https://api.github.com/users/edmundmiller/orgs,https://api.github.com/users/edmundmiller/repos,https://api.github.com/users/edmundmiller/events{/privacy},https://api.github.com/users/edmundmiller/received_events,User,public,False,42
nf-core,sarek,mirpedrol,42,mirpedrol,8224255,MDQ6VXNlcjgyMjQyNTU=,https://avatars.githubusercontent.com/u/8224255?v=4,,https://api.github.com/users/mirpedrol,https://github.com/mirpedrol,https://api.github.com/users/mirpedrol/followers,https://api.github.com/users/mirpedrol/following{/other_user},https://api.github.com/users/mirpedrol/gists{/gist_id},https://api.github.com/users/mirpedrol/starred{/owner}{/repo},https://api.github.com/users/mirpedrol/subscriptions,https://api.github.com/users/mirpedrol/orgs,https://api.github.com/users/mirpedrol/repos,https://api.github.com/users/mirpedrol/events{/privacy},https://api.github.com/users/mirpedrol/received_events,User,public,False,42
nf-core,sarek,lescai,32,lescai,53608000,MDQ6VXNlcjUzNjA4MDAw,https://avatars.githubusercontent.com/u/53608000?v=4,,https://api.github.com/users/lescai,https://github.com/lescai,https://api.github.com/users/lescai/followers,https://api.github.com/users/lescai/following{/other_user},https://api.github.com/users/lescai/gists{/gist_id},https://api.github.com/users/lescai/starred{/owner}{/repo},https://api.github.com/users/lescai/subscriptions,https://api.github.com/users/lescai/orgs,https://api.github.com/users/lescai/repos,https://api.github.com/users/lescai/events{/privacy},https://api.github.com/users/lescai/received_events,User,public,False,32
nf-core,sarek,grantn5,32,grantn5,127763095,U_kgDOB52Clw,https://avatars.githubusercontent.com/u/127763095?v=4,,https://api.github.com/users/grantn5,https://github.com/grantn5,https://api.github.com/users/grantn5/followers,https://api.github.com/users/grantn5/following{/other_user},https://api.github.com/users/grantn5/gists{/gist_id},https://api.github.com/users/grantn5/starred{/owner}{/repo},https://api.github.com/users/grantn5/subscriptions,https://api.github.com/users/grantn5/orgs,https://api.github.com/users/grantn5/repos,https://api.github.com/users/grantn5/events{/privacy},https://api.github.com/users/grantn5/received_events,User,public,False,32
nf-core,sarek,SPPearce,30,SPPearce,24893913,MDQ6VXNlcjI0ODkzOTEz,https://avatars.githubusercontent.com/u/24893913?v=4,,https://api.github.com/users/SPPearce,https://github.com/SPPearce,https://api.github.com/users/SPPearce/followers,https://api.github.com/users/SPPearce/following{/other_user},https://api.github.com/users/SPPearce/gists{/gist_id},https://api.github.com/users/SPPearce/starred{/owner}{/repo},https://api.github.com/users/SPPearce/subscriptions,https://api.github.com/users/SPPearce/orgs,https://api.github.com/users/SPPearce/repos,https://api.github.com/users/SPPearce/events{/privacy},https://api.github.com/users/SPPearce/received_events,User,public,False,30
nf-core,sarek,nevinwu,21,nevinwu,60278027,MDQ6VXNlcjYwMjc4MDI3,https://avatars.githubusercontent.com/u/60278027?v=4,,https://api.github.com/users/nevinwu,https://github.com/nevinwu,https://api.github.com/users/nevinwu/followers,https://api.github.com/users/nevinwu/following{/other_user},https://api.github.com/users/nevinwu/gists{/gist_id},https://api.github.com/users/nevinwu/starred{/owner}{/repo},https://api.github.com/users/nevinwu/subscriptions,https://api.github.com/users/nevinwu/orgs,https://api.github.com/users/nevinwu/repos,https://api.github.com/users/nevinwu/events{/privacy},https://api.github.com/users/nevinwu/received_events,User,public,False,21
nf-core,sarek,lindenb,18,lindenb,33838,MDQ6VXNlcjMzODM4,https://avatars.githubusercontent.com/u/33838?v=4,,https://api.github.com/users/lindenb,https://github.com/lindenb,https://api.github.com/users/lindenb/followers,https://api.github.com/users/lindenb/following{/other_user},https://api.github.com/users/lindenb/gists{/gist_id},https://api.github.com/users/lindenb/starred{/owner}{/repo},https://api.github.com/users/lindenb/subscriptions,https://api.github.com/users/lindenb/orgs,https://api.github.com/users/lindenb/repos,https://api.github.com/users/lindenb/events{/privacy},https://api.github.com/users/lindenb/received_events,User,public,False,18
nf-core,sarek,nschcolnicov,17,nschcolnicov,90359308,MDQ6VXNlcjkwMzU5MzA4,https://avatars.githubusercontent.com/u/90359308?v=4,,https://api.github.com/users/nschcolnicov,https://github.com/nschcolnicov,https://api.github.com/users/nschcolnicov/followers,https://api.github.com/users/nschcolnicov/following{/other_user},https://api.github.com/users/nschcolnicov/gists{/gist_id},https://api.github.com/users/nschcolnicov/starred{/owner}{/repo},https://api.github.com/users/nschcolnicov/subscriptions,https://api.github.com/users/nschcolnicov/orgs,https://api.github.com/users/nschcolnicov/repos,https://api.github.com/users/nschcolnicov/events{/privacy},https://api.github.com/users/nschcolnicov/received_events,User,public,False,17
nf-core,sarek,davidmasp,14,davidmasp,14033475,MDQ6VXNlcjE0MDMzNDc1,https://avatars.githubusercontent.com/u/14033475?v=4,,https://api.github.com/users/davidmasp,https://github.com/davidmasp,https://api.github.com/users/davidmasp/followers,https://api.github.com/users/davidmasp/following{/other_user},https://api.github.com/users/davidmasp/gists{/gist_id},https://api.github.com/users/davidmasp/starred{/owner}{/repo},https://api.github.com/users/davidmasp/subscriptions,https://api.github.com/users/davidmasp/orgs,https://api.github.com/users/davidmasp/repos,https://api.github.com/users/davidmasp/events{/privacy},https://api.github.com/users/davidmasp/received_events,User,public,False,14
nf-core,sarek,malinlarsson,11,malinlarsson,3244773,MDQ6VXNlcjMyNDQ3NzM=,https://avatars.githubusercontent.com/u/3244773?v=4,,https://api.github.com/users/malinlarsson,https://github.com/malinlarsson,https://api.github.com/users/malinlarsson/followers,https://api.github.com/users/malinlarsson/following{/other_user},https://api.github.com/users/malinlarsson/gists{/gist_id},https://api.github.com/users/malinlarsson/starred{/owner}{/repo},https://api.github.com/users/malinlarsson/subscriptions,https://api.github.com/users/malinlarsson/orgs,https://api.github.com/users/malinlarsson/repos,https://api.github.com/users/malinlarsson/events{/privacy},https://api.github.com/users/malinlarsson/received_events,User,public,False,11
nf-core,sarek,abhi18av,9,abhi18av,12799326,MDQ6VXNlcjEyNzk5MzI2,https://avatars.githubusercontent.com/u/12799326?v=4,,https://api.github.com/users/abhi18av,https://github.com/abhi18av,https://api.github.com/users/abhi18av/followers,https://api.github.com/users/abhi18av/following{/other_user},https://api.github.com/users/abhi18av/gists{/gist_id},https://api.github.com/users/abhi18av/starred{/owner}{/repo},https://api.github.com/users/abhi18av/subscriptions,https://api.github.com/users/abhi18av/orgs,https://api.github.com/users/abhi18av/repos,https://api.github.com/users/abhi18av/events{/privacy},https://api.github.com/users/abhi18av/received_events,User,public,False,9
