login,avatarUrl,url,starredAt
hyphaltip,https://avatars.githubusercontent.com/u/48827?u=686739b9b043f4ebb7d06a089548b153a5f558b3&v=4,https://github.com/hyphaltip,2016-02-17T05:51:14Z
azofeifa,https://avatars.githubusercontent.com/u/7357488?u=34b3ee0d17db585cb6bf2ba97e5f320dea6d55dd&v=4,https://github.com/azofeifa,2016-02-27T17:19:11Z
DackJempsey,https://avatars.githubusercontent.com/u/23224399?u=0f43659f746a943df96e82540f6b924d4963ab99&v=4,https://github.com/DackJempsey,2018-08-25T14:39:44Z
jessicatwes,https://avatars.githubusercontent.com/u/37282589?u=16d967b623080f8cec683c4957027b2d543226da&v=4,https://github.com/jessicatwes,2018-10-23T19:39:04Z
leipzig,https://avatars.githubusercontent.com/u/147991?v=4,https://github.com/leipzig,2019-08-20T15:07:33Z
tangerinemarigold,https://avatars.githubusercontent.com/u/842370?u=8142c8a84ba62f6c9969624eb91cd1b1743e52e6&v=4,https://github.com/tangerinemarigold,2019-08-20T15:12:57Z
jayhesselberth,https://avatars.githubusercontent.com/u/355367?u=dbcf195610a46f29de1c6000a9639ca473c65649&v=4,https://github.com/jayhesselberth,2021-05-31T16:57:56Z
