login,avatarUrl,url,starredAt
burkesquires,https://avatars.githubusercontent.com/u/881876?u=596ec7e2ad96ef40f9988b94044d50c478cab88e&v=4,https://github.com/burkesquires,2022-06-09T18:32:25Z
wzchang,https://avatars.githubusercontent.com/u/3793301?v=4,https://github.com/wzchang,2022-09-22T12:58:00Z
munanzenan,https://avatars.githubusercontent.com/u/41139313?v=4,https://github.com/munanzenan,2022-12-06T03:45:06Z
