pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url
PR_kwDOJZpEfc5SYpYD,Update pipeline_vc_gatkSHORT.sh,MERGED,2023-06-07T08:35:54Z,2023-06-07T08:36:14Z,2023-06-07T08:36:14Z,2023-06-07T08:36:14Z,elianabuenaventura,https://github.com/elianabuenaventura/variant_calling_GATK/pull/1
PR_kwDOJZpEfc5SY8E9,Update pipeline_vc_gatkSHORT.sh,MERGED,2023-06-07T09:21:29Z,2023-06-07T09:22:04Z,2023-06-07T09:22:04Z,2023-06-07T09:22:04Z,elianabuenaventura,https://github.com/elianabuenaventura/variant_calling_GATK/pull/2
