pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url
MDExOlB1bGxSZXF1ZXN0MjU1NDU5Mjcw,2.6.0,MERGED,2019-02-22T16:41:59Z,2019-02-22T16:42:37Z,2019-02-22T16:42:37Z,2019-02-22T16:42:37Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/61
MDExOlB1bGxSZXF1ZXN0MjgwNDQwMTA1,2.7.1,MERGED,2019-05-20T15:26:45Z,2019-05-20T15:27:07Z,2019-05-20T15:27:07Z,2019-05-20T15:27:07Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/62
MDExOlB1bGxSZXF1ZXN0MzA1MDczNTcw,Add bioconda instructions to readme,MERGED,2019-08-07T10:00:50Z,2019-08-07T10:00:58Z,2019-08-07T10:00:58Z,2019-08-07T10:00:58Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/63
MDExOlB1bGxSZXF1ZXN0MzIyODUxMDE4,various fixes,MERGED,2019-09-30T15:44:53Z,2019-09-30T15:45:03Z,2019-09-30T15:45:03Z,2019-09-30T15:45:03Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/65
MDExOlB1bGxSZXF1ZXN0MzI1MzA3NDgz,2.8.1,MERGED,2019-10-07T13:40:01Z,2019-10-07T13:40:10Z,2019-10-07T13:40:10Z,2019-10-07T13:40:09Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/66
MDExOlB1bGxSZXF1ZXN0MzI1MzA5NDkw,	new file:   TIDDIT.2.8.1,MERGED,2019-10-07T13:44:21Z,2019-10-07T13:44:29Z,2019-10-07T13:44:29Z,2019-10-07T13:44:29Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/67
MDExOlB1bGxSZXF1ZXN0MzI3NTUxNzcz,2.9.0,MERGED,2019-10-13T12:35:58Z,2019-10-13T12:36:07Z,2019-10-13T12:36:07Z,2019-10-13T12:36:07Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/69
MDExOlB1bGxSZXF1ZXN0MzM2NzU0MDcw,Cleaning!,MERGED,2019-11-05T12:30:03Z,2019-11-05T12:30:17Z,2019-11-05T12:30:17Z,2019-11-05T12:30:16Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/71
MDExOlB1bGxSZXF1ZXN0MzY5ODg3Mjc5,TIDDIT 2.10.0,MERGED,2020-02-01T11:17:46Z,2020-02-01T11:17:58Z,2020-02-01T11:17:58Z,2020-02-01T11:17:58Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/73
MDExOlB1bGxSZXF1ZXN0NDA3OTc5MjE5,Stream bam file/cram support,MERGED,2020-04-23T14:56:35Z,2020-04-23T14:56:52Z,2020-04-23T14:56:52Z,2020-04-23T14:56:52Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/74
MDExOlB1bGxSZXF1ZXN0NDIyNzIzMjEw,2.12.0,MERGED,2020-05-25T12:20:16Z,2020-05-25T12:23:43Z,2020-05-25T12:23:43Z,2020-05-25T12:23:43Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/75
MDExOlB1bGxSZXF1ZXN0NDM5MjQ0MzAw,Dockerfile,MERGED,2020-06-24T14:26:33Z,2020-06-24T15:17:44Z,2020-06-24T14:36:50Z,2020-06-24T14:36:50Z,jemten,https://github.com/SciLifeLab/TIDDIT/pull/76
MDExOlB1bGxSZXF1ZXN0NDM5ODU5NTA4,feat(dockerfile): adds samtools to dockerfile,MERGED,2020-06-25T09:04:45Z,2020-06-25T09:31:29Z,2020-06-25T09:31:28Z,2020-06-25T09:31:28Z,jemten,https://github.com/SciLifeLab/TIDDIT/pull/77
MDExOlB1bGxSZXF1ZXN0NTc0MTU1MjAy,Fixes to the SV manual and help menu,MERGED,2021-02-16T12:19:34Z,2021-02-16T12:19:40Z,2021-02-16T12:19:40Z,2021-02-16T12:19:40Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/79
PR_kwDOAkV3bs4t68bz,TIDDIT 2.12.2,MERGED,2021-11-01T11:15:28Z,2021-11-01T11:15:38Z,2021-11-01T11:15:38Z,2021-11-01T11:15:38Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/81
PR_kwDOAkV3bs43IUpH,Develop,CLOSED,2022-05-01T13:33:30Z,2022-05-01T13:34:02Z,2022-05-01T13:34:02Z,,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/83
PR_kwDOAkV3bs43IUyi,TIDDIT 3.0.0,MERGED,2022-05-01T13:36:42Z,2022-05-06T09:53:32Z,2022-05-06T09:53:31Z,2022-05-06T09:53:31Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/84
PR_kwDOAkV3bs45QiOM,	modified:   README.md,CLOSED,2022-06-07T16:35:51Z,2022-06-07T16:36:46Z,2022-06-07T16:36:46Z,,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/85
PR_kwDOAkV3bs45QoBx,3.1.0,MERGED,2022-06-07T16:57:16Z,2022-06-07T16:57:34Z,2022-06-07T16:57:34Z,2022-06-07T16:57:34Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/86
PR_kwDOAkV3bs47BLQq,3.2.0,MERGED,2022-07-07T12:35:24Z,2022-07-07T12:35:33Z,2022-07-07T12:35:33Z,2022-07-07T12:35:33Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/88
PR_kwDOAkV3bs48cO7i,TIDDIT 3.3.0,MERGED,2022-08-01T15:35:45Z,2022-08-08T14:49:44Z,2022-08-08T14:49:44Z,2022-08-08T14:49:44Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/90
PR_kwDOAkV3bs499b3x,changing RD to DR in format column,MERGED,2022-08-29T10:59:43Z,2022-08-29T11:25:28Z,2022-08-29T11:25:28Z,2022-08-29T11:25:28Z,jemten,https://github.com/SciLifeLab/TIDDIT/pull/92
PR_kwDOAkV3bs4-fJ0o,3.3.1,MERGED,2022-09-07T07:10:01Z,2022-09-07T07:10:43Z,2022-09-07T07:10:43Z,2022-09-07T07:10:43Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/95
PR_kwDOAkV3bs5FzKoN,3.4.0,MERGED,2022-12-19T16:54:05Z,2022-12-19T16:59:53Z,2022-12-19T16:58:30Z,2022-12-19T16:58:30Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/98
PR_kwDOAkV3bs5Ge4qQ,TIDDIT 3.5.0,MERGED,2023-01-02T11:04:11Z,2023-01-02T11:04:19Z,2023-01-02T11:04:19Z,2023-01-02T11:04:19Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/100
PR_kwDOAkV3bs5HkPKU,Fail if we cannot make output dirs,MERGED,2023-01-17T18:29:52Z,2023-01-23T14:34:16Z,2023-01-23T14:34:15Z,2023-01-23T14:34:15Z,Jessime,https://github.com/SciLifeLab/TIDDIT/pull/102
PR_kwDOAkV3bs5JaRC6,Fix XA - splitting,MERGED,2023-02-07T08:49:27Z,2023-02-07T11:06:01Z,2023-02-07T11:06:01Z,2023-02-07T11:06:01Z,kristinebilgrav,https://github.com/SciLifeLab/TIDDIT/pull/104
PR_kwDOAkV3bs5OARuy,3.6.0,MERGED,2023-04-11T09:41:07Z,2023-04-11T09:44:32Z,2023-04-11T09:44:32Z,2023-04-11T09:44:32Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/105
PR_kwDOAkV3bs5WFYaw,Version 3.6.1,MERGED,2023-07-21T10:05:28Z,2023-07-21T10:06:57Z,2023-07-21T10:06:57Z,2023-07-21T10:06:57Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/108
PR_kwDOAkV3bs5z5HOQ,TIDDIT 3.7.0,MERGED,2024-06-28T13:24:08Z,2024-06-28T13:24:20Z,2024-06-28T13:24:20Z,2024-06-28T13:24:20Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/116
PR_kwDOAkV3bs513xH3,TIDDIT 3.8.0,MERGED,2024-07-19T08:44:13Z,2024-07-19T08:44:24Z,2024-07-19T08:44:24Z,2024-07-19T08:44:24Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/118
PR_kwDOAkV3bs6CW6-s,Tiddit 3.9.0,MERGED,2024-11-19T09:12:56Z,2024-11-19T09:13:28Z,2024-11-19T09:13:28Z,2024-11-19T09:13:28Z,J35P312,https://github.com/SciLifeLab/TIDDIT/pull/120
