pull_number,title,state,created_at,updated_at,closed_at,merged_at,user,url
MDExOlB1bGxSZXF1ZXN0MTA3NDQ4NTc0,Add files via upload,MERGED,2017-02-22T16:44:12Z,2017-02-22T16:59:13Z,2017-02-22T16:48:55Z,2017-02-22T16:48:55Z,N/A,https://github.com/ngs-fzb/MTBseq_source/pull/1
MDExOlB1bGxSZXF1ZXN0MTA4OTkzMzEw,Fix opt,MERGED,2017-03-03T15:19:59Z,2017-03-03T15:21:03Z,2017-03-03T15:20:51Z,2017-03-03T15:20:51Z,cutpatel,https://github.com/ngs-fzb/MTBseq_source/pull/2
MDExOlB1bGxSZXF1ZXN0MTEzNjQ0NjY5,Merge branch 'TBseq-v1.2.0-RK',MERGED,2017-03-31T13:02:38Z,2017-03-31T13:02:46Z,2017-03-31T13:02:46Z,2017-03-31T13:02:46Z,N/A,https://github.com/ngs-fzb/MTBseq_source/pull/3
MDExOlB1bGxSZXF1ZXN0MTYyNjY3MDM5,Dev merge into master,MERGED,2018-01-12T16:10:04Z,2018-01-12T16:14:54Z,2018-01-12T16:14:45Z,2018-01-12T16:14:45Z,cutpatel,https://github.com/ngs-fzb/MTBseq_source/pull/4
MDExOlB1bGxSZXF1ZXN0MTY1MzcxNjg1,Fix for insertion,MERGED,2018-01-26T14:09:33Z,2018-01-29T16:56:34Z,2018-01-26T14:10:03Z,2018-01-26T14:10:03Z,cutpatel,https://github.com/ngs-fzb/MTBseq_source/pull/5
MDExOlB1bGxSZXF1ZXN0MjAwMTQ5NTg4,MTBseq minor improvements,MERGED,2018-07-09T16:10:43Z,2018-07-09T16:14:17Z,2018-07-09T16:13:56Z,2018-07-09T16:13:56Z,cutpatel,https://github.com/ngs-fzb/MTBseq_source/pull/13
MDExOlB1bGxSZXF1ZXN0MjEzNjI0NzM3,1.0.2 changes,MERGED,2018-09-06T13:47:58Z,2018-09-06T15:02:31Z,2018-09-06T13:51:04Z,2018-09-06T13:51:04Z,cutpatel,https://github.com/ngs-fzb/MTBseq_source/pull/19
MDExOlB1bGxSZXF1ZXN0MjE3Njc1OTIw,add manual.md,MERGED,2018-09-24T14:28:35Z,2018-09-24T14:29:15Z,2018-09-24T14:29:01Z,2018-09-24T14:29:01Z,cutpatel,https://github.com/ngs-fzb/MTBseq_source/pull/20
MDExOlB1bGxSZXF1ZXN0MjU0MjkxNDg4,fix for java version check,MERGED,2019-02-19T15:12:08Z,2019-02-19T15:13:14Z,2019-02-19T15:12:33Z,2019-02-19T15:12:33Z,cutpatel,https://github.com/ngs-fzb/MTBseq_source/pull/25
MDExOlB1bGxSZXF1ZXN0Mjg3ODA1ODc3,gatk change for bioconda,MERGED,2019-06-13T08:01:32Z,2019-06-13T08:02:01Z,2019-06-13T08:01:52Z,2019-06-13T08:01:52Z,cutpatel,https://github.com/ngs-fzb/MTBseq_source/pull/30
MDExOlB1bGxSZXF1ZXN0NDE1NzMwMTIw,docs: tweak the doc for a straightforward usage section,MERGED,2020-05-10T14:39:38Z,2021-07-13T08:55:40Z,2021-07-13T08:46:41Z,2021-07-13T08:46:41Z,abhi18av,https://github.com/ngs-fzb/MTBseq_source/pull/54
PR_kwDOBO-uwM5JV6Z2,fix the highlight for the wget command,MERGED,2023-02-06T14:03:31Z,2023-02-07T16:28:41Z,2023-02-07T16:28:40Z,2023-02-07T16:28:40Z,abhi18av,https://github.com/ngs-fzb/MTBseq_source/pull/85
PR_kwDOBO-uwM5zQK36,chore: testing,CLOSED,2024-06-22T15:49:59Z,2024-08-09T12:58:10Z,2024-08-09T12:58:10Z,,Mor-Rubinsteinn,https://github.com/ngs-fzb/MTBseq_source/pull/98
PR_kwDOBO-uwM51uoGM,Merger of dev_CU and true codon branches,CLOSED,2024-07-18T05:51:07Z,2024-07-18T05:53:16Z,2024-07-18T05:53:16Z,,ibarilar,https://github.com/ngs-fzb/MTBseq_source/pull/99
